5|F|Lilac Efi av Amur|SIA c|...|(DE)DEKZV 004724||
13|M|Allegretto's Erasmus|SIA n|...|FD LO 28226|203|1471
26|F|Shelemay Kameo Kizzy|OSH b|...|GCCF SRNS 077708||
28|F|Ayu's Cosima|OSH n|...|(DE)DEKZV 000824||
30|M|Ayu's Belisar|OSH n|...|(DE)DEKZV 000823||
31|M|Adoneam Sweet Musicman|BAL a|...|GCCF EX 155052||
33|M|De Kater Ricardo Akyro|BAL n|...|(DE)DEKZV 022559|1284|4106
34|F|Gaynells Balsi Juno|BAL a|...|CFA 1277-000603 V81||
35|F|Shera Len Limoges of Waltur|SIA a|...|CFA 0277-016441 V0582||
38|F|Gaynells Dawn|BAL c|...|CFA 1275-081929 V0483||
41|M|Tassam's Chiko of RainRiver|BAL n|...|CFA 1272-140199 V0883||
42|F|Rangkesari's Nadine|BAL n|...|(DE)DEKZV 039128||
43|F|Chikkana Usquebaugh|BAL n 21|...|GCCF SRNS 281528|9358|9359
44|F|Tassam's Sheba|BAL a 21|...|CFA 2057-150406 V0484|5391|4698
45|M|Tassam's Akie|BAL n|...|(DE)DEKZV 099299|41|38
46|F|Baliol Carmen Miranda|BAL a|...|(SE)SVERAK RX 40858||
49|F|Mishamy Ginny Comelately|BAL a|...|GCCF SRNS 281398|31|8409
50|M|Vilhelm af Bajang|OSH bs|02-11-1991|FD LO 66095|18761|6426
51|M|Orla Braun Brimiso|SIA n|19-04-1997|FD LO 89951|60682|55890
67|F|Shirmi Ursula|SIA n|...|FD 21101|315|4236
69|M|Tamruat Black Knight|OSH n|...|GCCF SRNS 078005||
75|F|Pegasus Kosher|OSH b 24|...|FD RX 2261|15353|965
80|M|Kaloke Kuna|SIA n|...|GCCF NS 003718||
81|M|Uruguay Salut|SIA n|...|(SE)SVERAK LO 25874|12032|63683
82|M|Okesha Star Galaxy|SIA n|...|GCCF NS 122932|4234|1331
84|F|Tanholt' Hibiscus|OSH f|...|FD RX 4485|6991|1189
85|F|Cymbeline Chemeli|SIA n|...|GCCF 206626||
86|M|Essayci Caradoc|OSH b|...|(DE)DEKZV LO 049408||
87|F|Uruguay Blue Lady|SIA a|...|FD LO 11235||
90|F|Leyvyn Feaestar (Q)|SIA b|...|ACF FCCWA 2087W78|22577|22578
91|F|Bellamis' Honey|SIA d|...|FD LO 42670|63685|9851
93|F|Salween Blue's Xylopia|SIA a|...|FD LO 37884|10135|1190
94|M|Sontew Solomon|SIA b|...|KSM 6.303|4234|4010
147|F|DK Feles Grata Cin-Silver Cisse|OSH bs 24|03-04-1991|FD LO 63174|47469|49258
170|F|Rian Sedili|OSH b 24|...|GCCF SRNS 121096|206|15408
195|M|Tamruat Lilac Domino|SIA c|19-12-1963|GCCF 168871||
198|F|Newmoon Pandora|SIA n 21|...|GCCF NS 096059||
200|F|Chalmi Chashma|OSH b|...|GCCF SRNS 021562||
201|M|Solitaire Hapi|OSH c 24|...|GCCF SRNS 039778||
202|F|Solitaire Aala|OSH b|...|GCCF 259464||
203|M|Pixie's Cattie Joe Aun|SIA n|...|FD LO 21758|315|333
204|F|Mitsukou Chatelard|SIA n|...|GCCF NS 104181||
205|F|Sphinx Backfisch|OSH b 24|...|FD LO 35141|590|7029
206|M|Takata Khandi|OSH c|...|GCCF SRNS 076834|3928|200
210|M|Caliganza Kasmin|SIA b 21|...|GCCF NS 174086||
212|F|Aphrodite (Neocat)|BAL a|...|(DE)DEKZV 089335|11080|21769
255|F|Dovecliff Elsa|SIA n|...|GCCF NS 234070|18419|15807
280|M|DK Balsatzar's Atreus|SIA a|15-04-1990|FD LO 58971|17192|10411
283|M|Solomon Talisman|SIA n|...|FD 17440||
315|M|Yang Kung-Fu|SIA n|...|FD 17282||
323|M|Johpas Ricardo|SIA d 21|...|GCCF NS 175777||
330|M|Facit Fantomas Nobellami|SIA d|...|FD RX 1774||
331|M|Seadog Pacal|SIA n|...|GCCF NS 015336||
332|F|Muchloved Myree|SIA n 21|...|GCCF 253367||
333|F|Pixie's Cattie Aun|SIA a|...|FD 15014||
334|F|Zaroemaha's Bellis|SIA n|...|FD 17554||
335|F|Pendlemist Tziganella|SIA n 21|...|NKS K 44-254|331|332
336|F|Hanjy Icicle|SIA b|...|GCCF NS 014247||
337|F|Lise fra Skovengen|SIA b|...|FD 19922|283|334
338|M|Livrabar Strawman|SIA c|...|GCCF NS 185323||
339|F|Ilios Natasja|SIA a|...|FD LO 25302|203|337
341|M|Shandean Dionysius|SIA n|...|GCCF NS 099321|4234|342
342|F|Pengelly Serena|SIA n|...|GCCF NS 027278||
345|F|Bianca el Paso|SIA c|...|FD LO 34619||
346|F|Firousi Gemini|SIA c|...|GCCF NS 232336||
347|M|Kimberlinas Christamouse|SIA c|...|GCCF NS 236827||
348|F|Firousi Andromeda|SIA c|...|GCCF NS 237787||
349|F|Norska Astral Bifrost|SIA n|...|GCCF NS 126417|18419|7771
350|M|Firousi Don Quixote|SIA c|...|GCCF NS 306074|338|346
351|F|Windchimes Minette|SIA c|...|GCCF NS 307789|347|348
352|F|Adiveam Snow Berry|SIA c|07-06-1987|FD LO 50382|350|351
353|M|DK Omikron Baten Kaitos|SIA c|07-06-1990|FD LO 59235|1975|15271
376|M|Adivesh Lofta|OSH c|...|GCCF CS 034118|4322|17262
548|M|Peta Manuel|SIA n|...|ACF Q 1325||
590|M|Ardsley Arthur|SIA b 21|...|FD LO 32895|6980|7006
600|F|Balimoor Isis|BAL n 21|...|CFA 2053-139005 V0783|2661|2037
610|F|Nivandra Dollydaydream|SIA n|...|(SE)SVERAK LO 90086|4733|15808
628|F|Cindy Luela|SIA n|...|GCCF NS 014904||
631|M|Indigo Pink Panter|SIA c|...|FD 18641||
