128848;M;Usaf's Jumpin' Jehosaphat of Squire;SIN;04-04-1988;GCCF CSEXP 512185;130513;130514
128849;F;Sayang's Cattleya of Catera;SIN;23-09-1997;CFA 2701-1158063 V0799;;
128850;M;Catera American Dream-of-Portia;SIN;04-06-1999;GCCF CSEXP 457382;128848;128849
129458;M;Short Stuff of Golden Medley;SIN;...;CFA 2700-1118656;;
129459;F;Golden Medley Butter Three;SIN;...;TICA SBT 022794 004;;
129460;M;Golden Medley Boris Karloff;SIN;...;CFA 2700-1307338;129458;129459
129461;M;Jubilation Elf;SIN;...;CFA 2700-1160741;;
129462;F;Minnsing Cherokee;SIN;...;CFA 2701-878698;;
129463;F;Jubilation Elan;SIN;...;CFA 2701-1256103;129461;129462
129464;M;Shiverdens Bo Jangles;SIN;18-06-2003;GCCF CSSR 566688;129460;129463
129465;M;Dynastithai Singpur Soiaskder;SIN;...;GCCF CSREF 360148;;
129466;F;Singingpurrs Shamonix;SIN;...;GCCF CSREF 323305;;
129467;F;Tolgoblin Esmirelda Ofmine;SIN;...;GCCF CSREF 243129;;
129468;M;Singingpurrs Elvispursley;SIN;...;GCCF CSREF 368637;129465;129467
129469;F;Portia Sheenas Apunkrocker;SIN;...;GCCF CSREF 371974;129465;129466
129470;F;Iskander Sentosa;SIN;...;GCCF CSREF 349630;;
129471;F;Mysyameez Purrtulapursley;SIN;...;GCCF CSEXP 420753;129468;129470
129472;F;Adquash Sepia Rosie;SIN;...;GCCF CSREF 322847;130516;130515
129473;F;Adentsh Daisy Pawshe;SIN;...;GCCF CSEXP 390180;129465;129472
129474;F;Tolgoblin Tintinella;SIN;...;GCCF CSREF 304475;;
129475;M;Portia Wysiwyg;SIN;...;GCCF CSEXP 505805;128850;129469
129476;F;Mysyameez Purrdypursley;SIN;...;GCCF CSEXP 469982;129468;129471
129477;M;Adfursh Christofur Brown;SIN;...;GCCF CSSR 587336;129475;129476
129478;M;Sricoberys Indah;SIN;...;GCCF CSREF 237076;;
129479;M;Iskander Tompok;SIN;...;GCCF CSREF 370488;129478;129474
