50;M;Vilhelm af Bajang;OSH bs;19911102;FD LO 66095;18761;18761;OSH ns;6426;OSH n
51;M;Orla Braun Brimiso;SIA n;19970419;FD LO 89951;60682;60682;SIA b;55890;SIA n
147;F;DK Feles Grata Cin-Silver Cisse;OSH bs 24;19910403;FD LO 63174;47469;47469;OSH bs 25;49258;OSH o 25
280;M;DK Balsatzar's Atreus;SIA a;19900415;FD LO 58971;17192;17192;SIA b;10411;SIA n
352;F;Adiveam Snow Berry;SIA c;19870607;FD LO 50382;350;350;SIA c;351;SIA c
353;M;DK Omikron Baten Kaitos;SIA c;19900607;FD LO 59235;1975;1975;SIA n;15271;SIA b
647;M;S*Classic's Casanova;SIA n;19860529;FD LO 46576;15183;15183;SIA n;4014;SIA a
707;M;DK Etiq's Jim;SIA n 21;19880717;FD LO 53047;9836;9836;SIA n 21;706;SIA n
870;F;Uruguay Spotted Success;OSH a 24;19880706;FD LO 52560;9836;9836;SIA n 21;16504;OSH a 24
888;F;Winnetou's Lea;OSH a 24;19890615;FD LO 56142;15234;15234;SIA a;50242;OSH n 24
920;F;Charmaine of Bounty DK;OSH n 24;19960209;FD LO 83915;22648;22648;OSH b 24;32641;SIA n
966;F;DK Jojoba's Jermie Lee;SIA b;19970308;FD RX 11847;22495;22495;SIA b;58365;BAL w 67
1014;F;Cirkeline Funny Farm DK;SIA a;19900625;FD LO 61639;10135;10135;SIA a;20382;SIA a
1018;M;Bizét de Larousse DK;SIA n;19921120;FD LO 69772;19284;19284;SIA b;45102;SIA n
1028;F;Ayla 92-70;SIA n;19910727;FD LO 67623;9948;9948;SIA n;20482;SIA n
1031;F;lille Julie af Bajang;OSH ns;19920311;FD LO 66704;18761;18761;OSH ns;17112;SIA n
1078;F;DK Ragtime's Blue Baghera;SIA a;19900422;FD LO 59516;13864;13864;SIA a;13086;SIA w 67
1108;M;DK Pinang Tabby Dempsey;SIA a 21;19900405;FD LO 59492;707;707;SIA n 21;6849;SIA a 21
1121;F;Sphinx Fireworks;SIA h 21;19910511;FD LO 63298;11953;11953;OSH e;37188;OSH b 24
1131;F;Amanda Sensomia DK;SIA b;19900609;FD LO 59751;2067;2067;SIA a;15791;SIA b
1142;M;Baldrians Thotmes;OSH n;19891113;FD LO 57660;647;647;SIA n;7454;OSH n 23
1231;F;Tanholt' Frøbid;OSH f;19880827;FD LO 53115;5587;5587;OSH d;15356;OSH b
1256;F;S*Classic's Lucy Heiding;SIA b;19881202;FD LO 59496;15328;15328;SIA b 21;744;SIA c
1259;M;DK Ragtime's Boccaccio;SIA a;19900422;FD LO 59515;13864;13864;SIA a;13086;SIA w 67
1343;M;Umslopogaas af Fuga;OSH ns 24;19900717;FD LO 60033;71676;71676;OSH ns 24;28829;OSH f
1364;M;O'Russet's Sir Winston;BAL c;19881104;FD LO 54067;57271;57271;BAL c 21;3314;BAL a
1366;M;DK Lamidi's Kidogo;BAL a;19911102;FD LO 65909;17904;17904;BAL a;9394;BAL n
1379;M;Hamilton's golden Nuser;SIA d;19900527;FD LO 59555;17192;17192;SIA b;15303;SIA h
1381;M;Angelica's White Rasputin;SIA w 67;19901031;FD LO 61534;6823;6823;SIA w 67;8555;SIA n
1426;F;Allegretto's Vilja;SIA c 21;19900910;FD LO 60874;20222;20222;SIA c;11745;OSH b 24
1430;M;Jawhara's Lurifax;OSH c;19900803;FD RX 6771;1364;1364;BAL c;19144;OSH c
1455;M;DK Siaental Othello;SIA d;19930610;FD LO 73387;3254;3254;SIA d;28878;SIA d
1482;F;Kira 90-48;SIA a 21;19900316;FD RX 6440;14397;14397;BAL n 21;13452;SIA a
1487;F;Misriya's Tiffany;SIA b 21;19930315;FD LO 70929;29298;29298;SIA b 21;20933;OSH b 24
1490;M;DK Omikron Gemini;SIA a;19930118;FD LO 70942;29316;29316;SIA a;21075;SIA a
1507;M;DK Dinasty's Bogart;SIA n 21;19900623;FD LO 60061;6637;6637;SIA w 67;18754;SIA c
1522;M;DK Kjær's Dan;SIA w 67;19901101;FD LO 61449;7901;7901;SIA n 21;15033;SIA w 67
1635;M;DK Balsatzar's Archontos;SIA a;19900415;FD LO 58970;17192;17192;SIA b;10411;SIA n
1643;M;Winnetou's Little Sixpence;OSH e 24;19890622;FD LO 56146;15395;15395;OSH n 24;50244;SIA h
1646;F;DK Mercurys Miss Bon Bon;OSH c 24;19900823;FD LO 61214;6806;6806;OSH b;6805;SIA b 21
1695;F;Sphinx Rosalina;SIA e 21;19970613;FD LO 91046;57402;57402;OSH e;60598;OSH h 24
1710;M;Likita Vincent;SIA b;19910825;FD LO 64828;1975;1975;SIA n;19536;SIA c
1713;M;Nissen's Athos;OSH b;19911106;FD LO 65997;33602;33602;OSH b;32457;OSH h
1758;F;Viktoria 88-87;OSH n;19880523;FD LO 52018;6128;6128;SIA b;20275;OSH n
1787;M;DK Pinang Tabby Teiger;SIA a 21;19900405;FD LO 59491;707;707;SIA n 21;6849;SIA a 21
1800;F;Vanessa Naryschkina*D;SIA n;19921020;FD LO 69642;23005;23005;SIA n;12753;SIA b
1839;F;DK Omikron Elana;SIA n;19920520;FD LO 67737;9369;9369;SIA b;21075;SIA a
1913;M;Blue Felicity's Leroy;SIA d;19910817;FD LO 64624;15698;15698;OSH d;32527;SIA f
1916;F;DK Dreier's Chaty;SIA a;19921124;FD LO 70086;24449;24449;SIA a;25630;SIA g
1973;M;Hamilton's tabby Adonis;SIA n 21;19930102;FD LO 70319;41986;41986;SIA n 21;32118;SIA n
1975;M;Ilios Samson;SIA n;19821012;FD LO 33101;2677;2677;SIA n;339;SIA a
1986;M;Bellamis' Yan;OSH d;19910313;FD LO 62537;7490;7490;SIA d;28312;OSH f
2052;F;Sasja Karbi-Kat DK;SIA b;19881201;FD RX 5703;6128;6128;SIA b;17924;SIA b
2060;F;Sun Read Jacqueline;SIA b;19900729;FD LO 60298;17192;17192;SIA b;25420;SIA n
2067;M;Buster Ci-A-Mic DK;SIA a;19880427;FD LO 51279;2061;2061;SIA n;2066;SIA a
2157;M;Hamilton's choco Nannu;SIA b;19900527;FD LO 59554;17192;17192;SIA b;15303;SIA h
2258;F;DK Helsebakken's Abine;SIA b;19900419;FD LO 59104;2425;2425;SIA n;21456;SIA n
2265;F;DK Omikron Delta;SIA n;19920211;FD LO 66257;4695;4695;SIA a;15179;SIA n
2356;F;DK Sletten's Bizi;SIA n;19940305;FD LO 75505;16247;16247;SIA b;26228;SIA n
2388;M;Kalle Braun Brimiso;SIA n;19880822;FD LO 52864;17991;17991;SIA n;12038;SIA b
2425;M;Xerxes Thai-Vally;SIA n;19810320;FD LO 28887;15195;15195;SIA n;15190;SIA n
2467;F;Canasta's Sofia;OSH b;19900807;FD RX REGI 1416;5532;5532;SIA n;27994;OSH b
2608;M;Nissen's Nando;SIA n;19880217;FD LO 50684;5531;5531;SIA n;15274;SIA c
2610;M;DK Otium Louidji;SIA b;19901009;FD LO 60952;60684;60684;SIA n;28554;SIA b
2612;M;Uruguay Spotted Dempsey;OSH a 24;19880706;FD LO 52559;9836;9836;SIA n 21;16504;OSH a 24
2639;F;Sita Tayari DK;SIA b;19920120;FD LO 66361;6428;6428;OSH c;18830;OSH b
2641;F;Klingeskov's Symi;SIA n;19970526;FD LO 90602;44796;44796;SIA n;56966;SIA n
2675;F;Suleima Tayari DK;OSH b;19901102;FD LO 61714;6428;6428;OSH c;18830;OSH b
2678;M;Bøgevænget's Tay;OSH b;19930514;FD LO 71876;33126;33126;OSH n;31938;SIA b 21
2735;M;DK Vestergård's Amigo;SIA w 67;19901102;FD LO 61384;6823;6823;SIA w 67;10116;SIA a
2779;F;DK Omikron Elara;SIA n;19920520;FD LO 67736;9369;9369;SIA b;21075;SIA a
