Querying all.csv for SIN cats with weird parents
SELECT c1 as id,c2 as gender,c3 as name,c4 as ems,c5 as dob,c6 as reg,c7 as sire,c8 as dam FROM all.csv WHERE substr(ems,1,3) in ('SIN') AND ( sire NOT IN (SELECT 102964 UNION SELECT c1 FROM all_SIN.csv ) OR dam NOT IN (SELECT 102965 UNION SELECT c1 FROM all_SIN.csv ) )
128848;M;Usaf's Jumpin' Jehosaphat of Squire;SIN;04-04-1988;GCCF CSEXP 512185;130513;130514
128850;M;Catera American Dream-of-Portia;SIN;04-06-1999;GCCF CSEXP 457382;128848;128849
129460;M;Golden Medley Boris Karloff;SIN;...;CFA 2700-1307338;129458;129459
129463;F;Jubilation Elan;SIN;...;CFA 2701-1256103;129461;129462
129464;M;Shiverdens Bo Jangles;SIN;18-06-2003;GCCF CSSR 566688;129460;129463
129468;M;Singingpurrs Elvispursley;SIN;...;GCCF CSREF 368637;129465;129467
129469;F;Portia Sheenas Apunkrocker;SIN;...;GCCF CSREF 371974;129465;129466
129471;F;Mysyameez Purrtulapursley;SIN;...;GCCF CSEXP 420753;129468;129470
129472;F;Adquash Sepia Rosie;SIN;...;GCCF CSREF 322847;130516;130515
129473;F;Adentsh Daisy Pawshe;SIN;...;GCCF CSEXP 390180;129465;129472
129475;M;Portia Wysiwyg;SIN;...;GCCF CSEXP 505805;128850;129469
129476;F;Mysyameez Purrdypursley;SIN;...;GCCF CSEXP 469982;129468;129471
129477;M;Adfursh Christofur Brown;SIN;...;GCCF CSSR 587336;129475;129476
129479;M;Iskander Tompok;SIN;...;GCCF CSREF 370488;129478;129474
129480;F;Namasaya Yang Pertama;SIN;...;GCCF CSEXP 463287;129479;129473
129481;F;Jinnomni Bopeepers;SIN;...;GCCF CSSR 593496;129464;129480
129482;F;Spookipawz Mis Sophia;SIN;20-05-2005;FD RX 139192;129477;129481
130512;F;Jinnomni Bochiko;SIN;...;GCCF CSSR 593495;129464;129480
130695;M;Sayang Goldenrod of Singingpurrs;SIN;21-03-1997;GCCF CSEXP 410674;130694;130693
130698;F;Singingpurrs Secrets Agent;SIN;...;GCCF CSEXP 444514;130696;130697
130699;M;Singingpurrs Ixand;SIN;...;GCCF CSEXP 512404;128848;130698
130700;F;Pawra Missmufest;SIN;...;GCCF CSEXP 443917;130695;129472
130701;M;Liliphar Dreamboat;SIN;...;GCCF CSSR 553653;130699;130700
130717;M;Jinnomni Hetherhil Charmer;SIN;02-12-2005;FD RX 139919;130701;130512
139071;M;DK Abéné's First Edition;SIN;20-01-2007;FD RX 145674;130717;129482
139072;F;DK Abéné's Face of an Angel;SIN;20-01-2007;FD RX 145675;130717;129482
139073;F;DK Abéné's Felicia;SIN;20-01-2007;FD RX 145676;130717;129482
183419;M;Catera's Gnome III;SIN;...;CFA 2700-1264127 V0101;183417;128849
183422;M;Jademountain S'pore Gnome of Sayang;SIN;...;CFA 2700-629421 V0591;183427;183428
183423;F;Alor Star's Demi-Taz;SIN;...;CFA 2701-1027567 V0598;130694;183445
183424;F;Alor Star's Allie Mae;SIN;...;CFA 2701-1198250 V0501;183422;183423
183426;M;Alor Star's Skidder;SIN;...;CFA 2700-1514986 V0105;183419;183424
183431;M;Alor Star's Radar of Jouet-Couguar;SIN;11-06-2004;CFA 2700-1515014;183426;183424
183433;M;Dynastithai Frenchi of Flicflac of Wendenb;SIN;...;CFA 2700-1355683;183417;183432
183434;M;L'Etoile Sol's Oscar Premium;SIN;...;PK.SIN/001/98;183420;183421
183435;F;L'Etoile Sol's Ovation Premium;SIN;...;PK.SIN/002/98;183420;183421
183436;F;L'Etoile Sol's Lulu Premium of Jouet-Cougu;SIN;...;PK.SIN/005/01;183434;183435
183439;F;Pearls of Singa's Imari of Wendenburg;SIN;...;AICC 04005283;183437;183438
183440;M;Wendenburg's Lee-Chu of Jouet-Couguar;SIN;...;(D)Zb.Nr.01042547;183433;183439
183441;F;Agness Jouet-Couguar;SIN;23-01-2005;PK.SIN/008/05;183440;183436
183442;M;Kennaz Sunna of Katzenhof;SIN;20-04-2008;(DK)FD RX 209109;183431;183441
213279;M;Usaf's Monterey;SIN;...;CFA 2700-1426793;213275;213276
213280;F;Felinexpress Thailyn;SIN;...;CFA 2701-1611281;213277;213278
213281;M;Sentosa's Tengku Mahkota;SIN;...;CFA 2700-1629231;213282;213283
213293;M;Felinexpress Rocky;SIN;...;CFA 2700-1692788;213279;213280
213294;F;Sensations Sukurah;SIN;...;CFG 2701-12060902353;213287;213288
213295;M;RO*Elian Sings Street;SIN;...;(RO)FELIS RX 2009-1026/SIN;213281;213286
213296;F;Minime Makia Tinkerbell;SIN;...;ACU-SG 112010 009;213295;213294
213297;M;Threelights Im So Cute;SIN;...;(CH)LOS 13-34295;213293;213296
213298;F;Beautymus Little Miss Sunshine;SIN;...;CFA 2701-1662334;213285;213284
213299;M;Mireille Maverick;SIN;...;(RO)FELIS LO 2011-1835/SIN-NON;213281;213298
213300;M;Dynastithai Sanga Solo;SIN;...;LOOF 2001.1855;213289;213290
213301;F;Dynastithai Acerola;SIN;...;LOOF 2005.16295;213291;213292
213302;F;Decibelle du Douronron;SIN;...;(CH)LOS 08-26849;213300;213301
213303;F;Dancetaria Bailey's;SIN;...;(CH)LOS 14-34954;213299;213302
213304;M;Dancetaria Muffin for Kustens;SIN;27-06-2016;(DK)FD LO 226387;213297;213303
