14;F;Acinthe Angelique van Blue Lover;CRX c 33;...;FE.R83.RC.006.6;16969;CRX n 33;16967;XSH a 33
43;F;Chikkana Usquebaugh;BAL n 21;...;GCCF SRNS 281528;9358;BAL n 21;9359;SIA n
78;M;Penric Quicksilver;XSH x ns;...;FD RX 4412;8223;PER ns 12;15129;BUR f
134;F;Ballydane's Philimus;PER g;...;FD 17389;2479;PER e;;
205;F;Sphinx Backfisch;OSH b 24;...;FD LO 35141;590;SIA b 21;7029;OSH n 24
206;M;Takata Khandi;OSH c;...;GCCF SRNS 076834;3928;SIA c;200;OSH b
214;F;Farina Jousi;PER f;...;FD 11488;70753;PER n;;
274;M;Patou's Samourai;PER n;06-09-1977;CFA 0108-007867 V111;103329;PER e;;
356;M;Squire's Special Delivery;PER d;...;CFA 0110-004949 V111;5738;PER n;;
532;F;Gentle Bearcat's Gitte;PER a 33;...;FD 17152;4999;PER n 33;;
550;M;Shwechinthe Topaz;SBI b;...;GCCF EX 65502;4246;XLH n 33;4131;XLH b 33
590;M;Ardsley Arthur;SIA b 21;...;FD LO 32895;6980;OSH b 24;7006;OSH b 24
629;F;Lapje de Broeckloni;EXO f 03;...;MU.R85.EX.003.1;10176;PER n 03;3223;BSH d 24
664;M;Shennen Sugar Daddy of Midas;PER d;...;CFA 0110-003434;485;PER w 62;;
706;F;Baldrians Nefer;SIA n;...;FD LO 47311;647;SIA n;7454;OSH n 23
743;F;Sphinx Ganesh;SIA b 21;...;FD LO 42355;31024;OSH b;9194;SIA b 21
829;M;Vivelkattens Pop-Eye;SIA c;...;SVERAK RX 50803;3237;SIA b;2645;BAL c
839;F;Valbjørn's Brigett;PER a 33;...;FD 13287;4999;PER n 33;;
870;F;Uruguay Spotted Success;OSH a 24;06-07-1988;FD LO 52560;9836;SIA n 21;16504;OSH a 24
878;M;Uruguay Pink Bubbi;SIA b 21;...;FD RX 3301;4012;SIA c;7752;OSH f 22
888;F;Winnetou's Lea;OSH a 24;15-06-1989;FD LO 56142;15234;SIA a;50242;OSH n 24
910;M;Carouso la Margaretha;PER e 33;...;1.DEKZV LO 035779;3975;PER d 33;7181;SBI f
920;F;Charmaine of Bounty DK;OSH n 24;09-02-1996;FD LO 83915;22648;OSH b 24;32641;SIA n
966;F;DK Jojoba's Jermie Lee;SIA b;08-03-1997;FD RX 11847;22495;SIA b;58365;BAL w 67
