14;F;Acinthe Angelique van Blue Lover;CRX c 33;...;FE.R83.RC.006.6;16969;CRX n 33;16967;XSH a 33
78;M;Penric Quicksilver;XSH x ns;...;FD RX 4412;8223;PER ns 12;15129;BUR f
134;F;Ballydane's Philimus;PER g;...;FD 17389;2479;PER e;;
214;F;Farina Jousi;PER f;...;FD 11488;70753;PER n;;
274;M;Patou's Samourai;PER n;06-09-1977;CFA 0108-007867 V111;103329;PER e;;
356;M;Squire's Special Delivery;PER d;...;CFA 0110-004949 V111;5738;PER n;;
532;F;Gentle Bearcat's Gitte;PER a 33;...;FD 17152;4999;PER n 33;;
550;M;Shwechinthe Topaz;SBI b;...;GCCF EX 65502;4246;XLH n 33;4131;XLH b 33
629;F;Lapje de Broeckloni;EXO f 03;...;MU.R85.EX.003.1;10176;PER n 03;3223;BSH d 24
664;M;Shennen Sugar Daddy of Midas;PER d;...;CFA 0110-003434;485;PER w 62;;
839;F;Valbjørn's Brigett;PER a 33;...;FD 13287;4999;PER n 33;;
910;M;Carouso la Margaretha;PER e 33;...;1.DEKZV LO 035779;3975;PER d 33;7181;SBI f
1068;F;Fairygarden's Bacardi;NFO g 24;...;CFA 1789-152978 V0684;6983;MCO a;8982;MCO g 22
1135;M;McInkats Aki Kuma Cha of Nthaboo;MCO n 23;27-11-1979;CFA 1744-000127 V0181;3210;MCO n 22;;
1144;F;Nini af Timanfaya DK;PER g;01-05-1990;FD RX REG 1497;;;16335;PER b
1251;F;Hilken Red Progress;SBI f;...;GCCF EX 154095;1244;SBI n;2014;XSH f 09
1432;M;Skvallergränds Jora Alexandrovitj;RUS;...;SVERAK LO 29352;;;44483;RUS
1467;F;Mary Poppins de Broeckloni;BSH ns 24;...;MU.L83.BK.005.1;16050;BSH ns 22;;
1580;F;Alancha af Stensgård;PER n 33;...;FD LO 35079;1084;PER a 33;;
1804;F;Huntley Helio Trope;PER g;...;GCCF NS 033211;24003;PER n 33;;
1814;F;Syriam's Isis;XSH g;07-06-1989;FD RX REG 1336;33284;PER e;28391;BSH g
2020;F;Cattepoel's Kiss-Me-Kate;BSH a;...;1.DEKZV LO 085404;;;1289;BSH g
