146670;M;Procurlharem Marphycurl of Russicurl;ACL ds 22;...;CFA 8166-1310730;;;;
146671;F;Samoa Gems Graftycurl of Russicurl;ACS n;...;WCF AB-003/ACL/2000;146672;ACL n;102965;...
146672;M;Sarcent Enigma of Samoa Gems;ACL n;...;CFA 8134-1242131;146718;ACL n;146719;ACL ns
146673;M;DBCats Lil Boyblu;ACL a;...;CFA 8106-1125485;;;;
146674;F;Samoa Gems Y2Kay of Russicurl;ACL f 33;...;WCF AB-004/ACR/2000;146672;ACL n;102965;...
146675;F;Misty Van't Elzenhof;ACL w;...;SNVK A98-11-106HL;;;;
146676;F;Southerncurl Doodle Bug;ACL fy 23;...;CFA 8247-1228422;;;;
146677;M;Russicurl's Blue Bear;ACL as 22;...;CFA 8120-1368522;146670;ACL ds 22;146671;ACS n
146678;F;Russicurl's Sly-Boots;ACL n 33;...;CFA 8073-1334513;146672;ACL n;146674;ACL f 33
146679;M;Pikachu of Dragheeda;ACL es 23;...;BKV94 010071;146673;ACL a;146675;ACL w
146680;F;Nirwana Van't Elzenhof;ACL f 22;...;LOB 23028;146673;ACL a;146676;ACL fy 23
146681;F;Chakira-A De La Bruyere;ACL f 23;...;LOB 28280;146679;ACL es 23;146680;ACL f 22
146682;M;Russicurl's Bear Son;ACL as 22;...;WCF AB-078/ACR/2003;146677;ACL as 22;146678;ACL n 33
146683;M;Some Kind of Magic "Flying Eagle";ACL ns 24;10-12-2007;FD LO 171421;146682;ACL as 22;146681;ACL f 23
146684;F;Some Kind of Magic Curl "Jamila";ACL f 22;...;Belgicat 20470;146682;ACL as 22;146681;ACL f 23
146685;F;Bamacurls Aunt Pitty Pat;ACL g;...;CFA 8189-1136512;;;;
146686;M;Oliver Van't Elzenhof;ACL e 09 21;...;SNVK A98-05-109HL;;;;
146687;F;Babouche Van't Elzenhof;ACL g 22;...;LOB 22160;146686;ACL e 09 21;146685;ACL g
146688;M;Onyx of Dragheeda;ACL a;...;LOB 26624;146679;ACL es 23;146687;ACL g 22
146689;F;Some Kind of Magic "Dream Princess";ACL f 22;19-12-2007;FD LO 171422;146688;ACL a;146684;ACL f 22
146712;F;Russicurl's Baby-Curly;ACL fs 22;...;WCF AB-039/ACR/2002;146670;ACL ds 22;146671;ACS n
146713;M;Franz vom Dürergarten;ACL a 22;...;CCNeV 20770670;;;;
146714;M;Curls Fantasy's Beau;ACL a 22;...;BCF 0904-026;146713;ACL a 22;146712;ACL fs 22
146715;M;Curls Fantasy's Nemo;ACL ns 11;...;BCF ACS.0612-058;146714;ACL a 22;102965;...
146716;F;Russicurl's Blue Lady;ACL a 22;...;WCF AB-160/ACR/2005;146677;ACL as 22;146678;ACL n 33
146717;F;Curls Fantasy's Kenaya;ACL as 21 33;21-05-2007;FD RX 171445;146715;ACL ns 11;146716;ACL a 22
146718;M;Sarcenet Chotis;ACL n;...;CFA 8108-1135191;;;;
146719;F;Sarcenet Destiny;ACL ns;...;CFA 8135-1182197;;;;
151268;M;DK Dream Eagles Curly Unico;ACL as 22;03-02-2009;FD RX 175001;146683;ACL ns 24;146717;ACL as 21 33
151269;F;DK Dream Eagles Curly Unique;ACL as 22;03-02-2009;FD LO 175002;146683;ACL ns 24;146717;ACL as 21 33
151270;F;DK Dream Eagles Curly Quality;ACL f 24;03-02-2009;FD LO 175003;146683;ACL ns 24;146717;ACL as 21 33
160097;F;K-Angelica;ACL ds 22;...;Kat ID: 312748;;;;
160101;F;Brookdale Gemstone Geum;ACL g;...;CG CA RX 9906008;;;;
160353;F;Maria Magdalena Dee, CZ;ACL ds 22;...;CSCH LO 5/3/BML;;;;
160365;F;Tip-Toe's Tam-Tam;ACL f 23;...;(DE)DRU 00R302;;;;
210658;M;FIN*Trollin Erik Punainen;ACS d 09 22;...;(FIN)SRK RX 82316;;;;
