185506;F;Foxy Girl von der Wethmar Mark;BLH g 03;...;ICC e.V. HIG-08-1415-0;185502;BLH e;185505;BLH g 03
189009;M;DK Crazy Cute Cats Felix;BLH n 24;07-07-2012;(DK)FD RX 212626;171347;BSH as 23 64;170433;BSH n
189656;F;Hanna v. Berstetal;BLH a 33;...;KFLN 30634161;189648;BSH c 33;189655;BSH a 33
200472;M;Q P's Aladin vom Muchlenek;BLH p;...;Missing Info (393);;;;
200474;M;Adnarim's Ernie;BLH b;...;Missing Info (391);;;;
200482;F;Buntebear's Fluffy Lilac;BLH c;...;Missing Info (405);200472;BLH p;200471;BSH c 33
202123;M;Bario Labyrint;BLH b;...;(PL)SRK LO 01543;;;;
202849;F;D*Isabella vom Gloryhill;BLH h;...;Missing Info (428);;;;
202850;M;D*Caleb of Britisch Castle;BLH b;...;Missing Info (427);;;;
202851;M;Indiana Jones v.d. britisch Hassenlinde;BLH a;...;HIG-07-0861-1;202850;BLH b;202849;BLH h
206438;F;Viva von Grigoleit;BLH o;...;TICA SBV 021312 052;206436;BSH o;206437;BSH a
207412;M;Tommy O'Uxmal;BLH p;...;Limbra r03.low.002.1;163141;BSH n 03;207413;BSH f
207512;M;DK Lady Xiera's Tom Cruise;BLH a;02-10-2015;(DK)FD RX 223294;131742;BSH e;194602;BSH a
208863;M;DK Ulmose's Dario;BLH a;08-02-2016;(DK)FD LO 223895;202135;BSH a;203713;BSH a
208920;M;DK Iljin Bruno Mars;BLH b;15-12-2015;(DK)FD LO 223928;200806;BSH d;206595;BSH c
208921;F;DK Iljin Bright Star;BLH h;15-12-2015;(DK)FD LO 223929;200806;BSH d;206595;BSH c
209455;F;DK Wiki's Markiza;BLH a;23-03-2016;(DK)FD RX 224176;202135;BSH a;198074;BSH a
210768;M;DK Højgaards Rituk Apollo;BLH e;07-06-2016;(DK)FD LO 225053;202135;BSH a;203886;BSH g
211281;M;Stardust Linke Loetje;BLH w 62;...;NCT A2005-7538;211279;BSH w 62;211280;BSH g 03
211624;M;DK Jafa's Gustav;BLH b 33;16-06-2016;(DK)FD LO 225472;186587;BSH b 33;189660;BSH b 33
212099;M;Timo von Ambach of Lykken;BLH b 22;...;TICA 03T 093008 017;212097;BSH b 22;212098;BSH p 33
212494;F;DK Wiki's Trixie;BLH a;29-08-2016;(DK)FD LO 225898;202135;BSH a;202964;BSH a
212495;F;DK Wiki's Blue Nelly;BLH a;29-08-2016;(DK)FD LO 225899;202135;BSH a;202964;BSH a
212506;F;Daisy Loretta of Jewel Star d'Nifrilar;BLH ay 25;...;Missing Info (709);;;;
212661;M;Jasper vom Kreuzanger;BLH a;...;(DE)DELICAT 2068460;212660;BSH ny 25;212659;BSH ns 11
212667;F;Joe Hilary Queen of Jewel Star d'Nifrilar;BLH ny 11;...;1.ITAVC e.V. HIG-LO-14020/5.11;212505;BSH ns 11;212506;BLH ay 25
214314;F;DK Malchau's Vera;BLH h;23-09-2016;(DK)FD LO 226873;133126;BSH c 03;194807;BSH d 24
