61;F;Dunvald's blue Daisy;BSH a;...;FD LO 39570;12718;BSH a;3564;BSH a
72;F;U-Vienna;BSH a;...;1.DEKZV 131653;4219;BSH a;16976;BSH a
236;F;Dunvald's blue Cikorie;BSH a;...;FD LO 29318;1286;BSH a;1315;BSH a
246;M;Pandur's Attila;BSH a;...;GdK 70879-2;18989;BSH a;18990;BSH a
263;F;Alesja de Santanoe;BSH a;...;MU.R81.EK.NL.026;3562;BSH a;14785;BSH a
304;F;DK Ferrymaster's Sissel;BSH g;09-05-1988;FD LO 51187;27768;BSH a;4641;BSH e
467;F;Assia v. Bocca Concolor;BSH ns 11;...;1.DEKZV LO 046549;;;;
535;F;Syriam's Nanette;BSH n;...;FD LO 23441;;;;
539;M;Elisabeth's black Prince;BSH n;...;FD LO 27310;1273;BSH e;535;BSH n
585;F;Isabella af Chindwin Blue;BSH g;01-02-1993;FD RX 8626;26533;BSH n;25664;BSH g
803;M;Lamont D'Artagnan;BSH a;...;SVERAK RX 43685;47111;BSH e;1317;BSH g
849;M;DK Rafina's Panda;BSH w 62;06-12-1990;FD LO 61314;932;BSH w 62;19169;BSH w 62
852;M;DK Blue Dream's Apollo;BSH a;13-08-1993;FD LO 73293;10265;BSH a;25465;BSH a
932;M;DK Rafina's Billy;BSH w 62;26-06-1989;FD LO 56090;5101;BSH a;4623;BSH w 62
938;M;Gabela cream Buzon;BSH e;...;FD LO 28688;18266;BSH a;2616;BSH e
941;F;De Rijp's Peggy;BSH a;...;1.DEKZV LO 013769;;;;
1036;M;Nicodemus von Nednil;BSH a;...;1.DEKZV LO 100258;2016;BSH a;5424;BSH a
1038;F;Bagoas Iceland Poppy;BSH e;...;MU.R88.BK.011.1;1040;BSH e;6445;BSH e
1040;M;Panda's Cream Annesson;BSH e;...;FE.R85.BK.MU.15;3573;BSH c;30318;BSH e
1045;F;Pensylva Perdita;BSH a;...;FD 7574;;;;
1077;M;DK Danicat's Buller;BSH a 03;19-08-1994;FD LO 77792;28257;BSH a 03;35798;BSH a
1177;M;DK Løjt-Katt Buller;BSH a;16-02-1992;FD LO 66560;19551;BSH a;16407;BSH a
1245;M;Fairyland's Olivier B. Bommel;BSH a;...;1.DEKZV 063820;;;;
1272;M;DK Bitris Sigurd;BSH e;19-05-1988;FD LO 56851;1318;BSH a;31427;BSH g 03
1273;M;Syriam's Jimmbo;BSH e;...;FD 15302;;;;
1274;M;Kabbarps Gorgi;BSH a;...;FD 6976;1282;BSH a;;
1275;F;Kentia's Blue Mickan;BSH a;...;FD 13482 K;;;;
1276;F;Boundary Candlelight;BSH e;...;GCCF 257022;;;;
1277;F;Broadweir Misty Morn;BSH g;...;GCCF 239791;;;;
