2799;M;Maya Lotus;BSH ns 12;...;FD RX 5781;1951;PER ns 12;34530;BSH ns 11
2810;M;Chopin van de Roestelberg;BSH a 03;...;MU.R86.BK.032.2;77781;PER n 02 62;77782;BSH f
3368;M;Chushingura's Fridolin Z;BSH a;...;SVERAK RX 53020;10198;PER a;14957;BSH g
3573;M;Panda's Lilac Purr-Sonality;BSH c;...;MU.R83.BK.017.1;25501;PER a;25504;BSH a
3856;M;Pirot Woodstock;BSH w 62;...;SVERAK RX 31791;4096;PER w 62;5105;BSH n
4635;F;Xenia von Schaephuysen;BSH w 62;...;MU.R87.BK.D.073;11917;EXO w 62;4629;BSH g
8084;M;Pirot What a Day;BSH w 62;...;SVERAK RX 31384;4096;PER w 62;5105;BSH n
8203;M;Frans van Lady's Home;BSH a;...;MU.R82.BK.049.1;161;PER e;2801;BSH a
8224;M;Maya Coriander;BSH ns 11;05-08-1988;FD RX 5746;1951;PER ns 12;34530;BSH ns 11
9048;F;Cherrywood Chequers;BSH f;...;SVERAK RX 19877;3558;PER e;2025;BSH f
9517;M;Barlatan van Diaspora;BSH b;...;MU.R87.BK.045.1;28386;PER b;5421;BSH a
10200;M;Magic's Salt Sylvester Stallone;BSH a 23;...;SVERAK RX 45655;10198;PER a;9642;BSH n 22
14959;M;Marvellous Silver Caletto;BSH ns 24;...;1.DEKZV LO 834441;2809;EXO ns 11;9871;BSH ns 22
14962;M;Salubi Rockafella;BSH e 03;...;GCCF CSSR 009496;2474;PER a 03;2029;BSH g
16756;M;Bahadur Paris;BSH ns 12;...;GCCF SRNS 077825;21111;PER ns 12;21117;BSH ns 12
19402;F;Magic's Secret Supertramp;BSH n 24;...;SVERAK RX 45654;10198;PER a;9642;BSH n 22
22308;M;Silver Kotek of Jadwiga's Home;BSH ns 11;...;FE.R85.BK.054.2;16754;EXO ns 11;7489;BSH ns 11
22309;M;Hadrian vom Bleek;BSH ns 12;...;1.DEKZV LO 098280;294;PER ns 12;22307;BSH ns 11
22311;F;Antonia Felis Pretiosus;BSH ns 11;...;1.DEKZV LO 090831;2809;EXO ns 11;22310;BSH ns 12
23062;F;Dinah van de Groene Bedstee;BSH g;...;MU.R82.BK.045.2;10404;PER a;58339;BSH e
23964;F;Satinmist Domino;BSH n;...;GCCF CSSR 077536;9788;BSH w 61;32943;PER j
23968;M;Kavida Dark Secret;BSH n;...;GCCF SRNS 120295;59992;PER b 33;24019;BSH ns
23973;F;Adqwesh Arabella;BSH c 33;...;GCCF CSEXP 013719;23968;BSH n;23971;PER f 33
23978;F;Misskin Chloe;BSH a 33;...;GCCF CSEXP 002268;24025;PER a 33;23694;BSH a 21 33
23984;F;Boadicat Sophie;BSH a;...;GCCF CSSR 004468;24004;PER b 33;24005;BSH a
23992;F;Pawpoosh Dancing Days;BSH n 33;...;GCCF EX 061274;23990;BSH a;23991;PER ns
23998;F;Kavida Corn Dolly;BSH e;...;GCCF SRNS 141520;23994;PER e 33;23997;BSH g
24001;F;Kavida Lovestory;BSH a;...;GCCF SRNS 120057;24023;PER b 33;23997;BSH g
24009;F;Mocha Sister Jill;BSH a;...;GCCF SRNS 040412;23983;BSH a;4779;PER a
24028;F;Idlebeck Lulubelle;BSH a;...;GCCF CSSR 001911;23965;BSH a;24027;PER c
24033;F;Misskin Something Special;BSH g 33;...;GCCF CSEXP 007495;24030;BSH a 33;24032;PER g
24393;F;Vanessa vom Tonkay;BSH e;...;1.DEKZV 111935;13630;PER e;24392;BSH w 62
25504;F;Ruthi van Diaspora;BSH a;...;MU.R82.BK.004.3;25502;PER c;25503;BSH g
28311;F;Syriam's Lilac Dee Dee II;BSH c 24;27-06-1995;FD RX 11411;46634;BSH c 33;20110;EXO a 23
28375;M;Potentilla's Argenta Taras;BSH ns 11;...;NCT A816051;10207;PER ns 12;16752;BSH ns 12
28387;M;Festus van Diaspora;BSH b;...;1.DEKZV RX 155108;28386;PER b;51121;BSH a
29418;F;Maya Lia;BSH ns 11;07-05-1987;FD RX 5263;1951;PER ns 12;12714;BSH ns 11
30302;F;Creydale Bettina;BSH g;...;GCCF CSSR 003437;30300;PER e;30301;BSH a
31390;M;Misskin Rembrandt;BSH b 33;...;GCCF CSSR 142016;24021;BSH n 33;31389;PER c
32618;F;Misskin Twilight Princess;BSH a;...;GCCF SRNS 140254;24025;PER a 33;24026;BSH a
32942;M;Kavida Special Agent;BSH e;...;GCCF SRNS 120056;24023;PER b 33;23997;BSH g
32944;M;Satinmist Yuletide Lad;BSH e;...;GCCF CSSR 054294;4785;BSH a;32943;PER j
36627;M;Florah's Waldsteinia Ternata;BSH ns 11;07-07-1994;FD RX 10178;17248;PER ns 12;39730;BSH ns 11
37176;F;Jervardis Northern Lights;BSH f 33;...;GCCF CSEXP 059899;31837;PER e 33;31835;BSH n 33
38321;M;Pathfinders Style;BSH d 03;...;GCCF SRNS 219424;38317;PER d 03;38320;BSH f 03
38322;F;Pathfinders Monica;BSH g 03;...;GCCF EX 062331;38319;PER d;38318;BSH g 03
38330;M;Wintapi Crystal Clear;BSH e;...;CA RX 86122801;38326;PER a;38329;BSH g
38331;F;Wintapi Mindy;BSH f 03;...;CA RX 91082200;38335;PER ns 12;38336;BSH f 03
38333;M;Wintapi Clear Cut;BSH e;...;CA RX 87081516;38326;PER a;38329;BSH g
38338;F;Kaleido Jeepers Creepers;BSH a 03;...;GCCF SRNS 121830;38315;PER n 03;38316;BSH f
38713;M;Mithra Just for Fun van Landsheer;BSH a;...;NCT A920078;41914;BSH e;38712;PER g 33
38775;F;Matagoti Mabrouka;BSH ns 24 64;...;MU.R87.BK.D.020;3220;BSH ns 24;38774;PER ns 22 64
38779;F;Matagoti Mouna;BSH ns 22 64;...;WCF DE 00369 RIEX;3220;BSH ns 24;38774;PER ns 22 64
38782;F;Miss Marple de Broeckloni;BSH ns 22;...;MU.R93.BRI.029.2;38781;EXO n 22;38780;BSH ns 22 64
39372;F;Maya Tusindfryd;BSH ns 11;06-02-1988;FD RX 5782;1951;PER ns 12;20295;BSH ns 11
39740;M;Patchouli de Tuatha-De-Danann;BSH ns 11;...;NCT A906236;16754;EXO ns 11;39739;BSH ns 11
39747;F;Ennypenny fan Anjulies Balloo;BSH ny 12;...;FE.R91.BK.074.2;39746;PER ny 11;39726;BSH ns 11
41231;F;Kinnons Veuve Clicquot;BSH w 62;...;B/S 241;41223;PER w 62;41224;BSH a
41704;F;Maya Rhea;BSH ns 11;07-05-1988;FD RX 5264;1951;PER ns 12;12714;BSH ns 11
41759;M;Goldstern de Broeckloni;BSH ny 12;...;WCF DE 1983 RIEX;4938;PER ny 11;41758;BSH ny 12
41914;M;Little Heaven 17 Joufflu;BSH e;...;NCT A886241;2728;PER e;23059;BSH e
45772;F;Jervardis Twilight Zone;BSH f 33;...;GCCF CSEXP 059900;31837;PER e 33;31835;BSH n 33
45773;F;Byou Beach Arty van Landsheer;BSH g 33;...;NCT 1936372;45769;BSH d 33;38705;PER g
47107;F;Suncat's Pearl of Passion;BSH g 03;...;SVERAK RX 53205;47104;PER e 03;47105;BSH g
50024;F;Esmée of Gallimaufry;BSH ns 11;...;FE.R86.BK.099.1;50022;EXO ns 11;50023;BSH ns 11
51122;F;Fyedka Tov van Diaspora;BSH c;...;MU.R88.BK.013.5;28386;PER b;51121;BSH a
54276;F;Marousha Aquarelle van Landsheer;BSH a 21 33;...;NCT A957380;54268;PER c 21 33;60198;BSH a 33
57497;M;Porsgården's Dot Ivanhoe;BSH n 03;...;SVERAK RX 39657;57498;PER d 03;57499;BSH a
59993;F;Kavida Sugaranspice;BSH ns;...;GCCF SRNS 120297;59992;PER b 33;24019;BSH ns
62893;F;Adouzsh Harlequinade;BSH n 03;...;GCCF CSREF 273181;62886;BSH a;62892;PER n 03
64757;F;Schibboleth's Silver Natasha;BSH ns 22;...;NRR RX 1268;46973;BSH ns 22;46974;PER n
69414;F;Sunshines My;BSH ns 12;...;SVERAK RX 51118;4936;PER ns 12;69331;BSH ns 12
69421;F;Chatfou Cristabelle;BSH ns 12;...;GCCF NSSR 079958;69419;PER ns 12;69420;BSH ns 12
69429;F;Tzarkesh Demelza;BSH ns 12;...;GCCF CSSR 137411;69425;PER ns 12;69428;BSH ns 12
69538;F;Jukebox vom Blue Lake;BSH b;...;MU.R93.BRI.NL.95;69537;PER b;67146;BSH n
78975;F;Gowlaren Sweetviolet;BSH ns 12;...;GCCF CSSR 004884;78973;PER ns 12;78974;BSH ns 12
84091;F;Arabella-Aimée von Gyimothy*A;BSH d;...;ÖVEK 3997/EX/VIII;23460;PER d;84089;BSH f
88394;M;S*Skogsuddens Karl Primus;BSH ns 12;...;SVERAK RX 49226;88392;PER ny 11;88393;BSH ns 11
88397;M;Pirot Eros;BSH ny 12;08-05-1996;SVERAK RX 137846;88389;PER ny 12;88396;BSH ns 12
88398;M;Coppins Hedges;BSH ny 12;...;GCCF CSEXP 207167;105419;PER ny 12;105420;BSH ns 12
88399;F;Coppins Crystal Tips;BSH ns 12;...;GCCF CSSR 168953;105419;PER ny 12;105421;BSH ns 12
88400;M;Coppins Benson;BSH ny 12;...;GCCF CSEXP 207166;105419;PER ny 12;105420;BSH ns 12
88403;F;Coppins Bonnie Belle;BSH ny 12;...;GCCF CSEXP 243739;88400;BSH ny 12;88401;PER ny 12
90630;M;Marvellous Silver Ramses II;BSH ns 12;...;WCF DE 26227 RIEX;90627;PER ns 12;90628;BSH ns 12
93434;M;Filistijn van Diaspora;BSH b;...;MU.R88.BK.013.1;28386;PER b;51121;BSH a
93440;F;Mokridz Velvet Toy;BSH fs;...;UFA BRI/91-2136;93451;PER ds 11;93433;BSH g
