32;F;Mankats Painted Lady of Brandx;MAN x n 22;...;CFA 0645-000315 V112;;;;
994;M;Lillemand;MAN n 51;02-09-1988;FD RX REG 1333;;;;
1486;M;Red Oaks Mill Mannix of Dahpne;MAN d 51;...;NKS K 51-968;25470;...;25471;...
2002;F;Rasmine;MAN n 03 24 53;...;FD 1446 K;;;;
2176;M;Quintessenza Jabal;MAN n 03 24 53;...;FD RX 2517;6538;MAN n 02 24 51;15475;MAN n 03 24 51
2181;M;Quintessenza O-Kay;MAN n 03 51;...;FD RX 3379;2903;MAN n 02 51;9983;MAN n 03 51
2193;M;Quintessenza Innocent;MAN n 02 51;...;FD RX 3733;2195;MAN n 03 51;6537;MAN n 03 51
2195;M;Quintessenza Kumbel;MAN n 03 51;...;FD RX 2625;6538;MAN n 02 24 51;24558;MAN n 02 24 51
2834;M;Drost Made in Denmark DK;MAN n 03 51;21-11-1985;FD RX 4434;2193;MAN n 02 51;10087;MAN f 03 53
2903;M;Quintessenza Ink Spot;MAN n 02 51;...;FD 1468 K;4243;MAN n 03 53;2002;MAN n 03 24 53
2905;F;Sylvia;MAN x a 02 54;...;FD RX 2931;;;2002;MAN n 03 24 53
2919;M;Leif Trym Made in Denmark DK;MAN d 03 53;08-06-1990;FD LO 60446;2834;MAN n 03 51;10087;MAN f 03 53
3235;M;Quintessenza Desty;MAN n 51;28-05-1991;FD LO 63907;6335;MAN n 51;9983;MAN n 03 51
3506;M;Braeside's Mister Musky;MAN n 03 53;...;MU.R89.MX.REG.02;;;41861;MAN n 03 22 53
4243;M;Adam;MAN n 03 53;...;FD 1410 K;;;;
4379;M;Thor Made in Denmark DK;MAN x d 54;02-10-1990;FD RX 6991;2834;MAN n 03 51;10087;MAN f 03 53
5182;F;Luno's Dasja;MAN n 51;06-05-1991;FD RX REG 1488;994;MAN n 51;20897;MAN n 51
6042;F;Quintessenza Prestige;MAN n 51;24-09-1989;FD LO 57990;6335;MAN n 51;8104;MAN n 03 51
6335;M;Quintessenza Espresso;MAN n 51;04-11-1987;FD LO 50022;2181;MAN n 03 51;21471;MAN n 03 51
6537;F;Josefine Caroline;MAN n 03 51;...;FD RX 2455;;;;
6538;M;Questo;MAN n 02 24 51;...;FD RX 2031;;;;
7472;M;Quintessenza Anthony;MAN n 53;26-04-1991;FD LO 63905;6335;MAN n 51;21471;MAN n 03 51
7714;F;Dicke Bertha aus Ulalumë DK;MAN n 03 53;30-04-1996;FD RX 11190;71584;MAN a 03 22 52;48904;MAN n 03 51
8075;M;Monas Mr. Sandman;MAN e 22 51;...;GCCF SROS 179551;;;;
8096;M;Quintessenza Image;MAN x n 02 54;...;FD RX 3208;2903;MAN n 02 51;2905;MAN x a 02 54
8098;F;Quintessenza Nøkke;MAN n 03 53;...;FD RX 2751;2903;MAN n 02 51;;
8100;F;Quintessenza Rebelle;MAN x n;...;FD RX 2910;15141;MAN x w 62 54;9983;MAN n 03 51
8103;M;Jos van Tibeert;MAN d 22 51;...;NHS AK 56.228;25468;MAN a 51;24631;MAN d 23 51
8104;F;Quintessenza Clou;MAN n 03 51;01-05-1987;FD RX 5269;2181;MAN n 03 51;9983;MAN n 03 51
8105;F;DK Laxey's Alicia;MAN n 03 52;08-11-1991;FD LO 65272;15087;MAN n 03 52;27175;MAN n 03 52
8781;F;Quintessenza Rosette;MAN n 03 51;19-09-1992;FD LO 69752;15087;MAN n 03 52;63969;MAN n 02 51
8933;F;Kellog Jennifer;MAN w 51;...;NKS K 51-067 IMP.;25472;...;25473;...
8937;F;Quintessenza Zibylle;MAN n 03 24 51;...;FD RX 3223;2176;MAN n 03 24 53;;
9470;F;Honette;MAN n 03 53;...;FD 1714 K;4243;MAN n 03 53;2905;MAN x a 02 54
9983;F;Quintessenza Burlesque;MAN n 03 51;...;FD RX 2353;2903;MAN n 02 51;9470;MAN n 03 53
10087;F;Quintessenza Bambola;MAN f 03 53;09-09-1983;FD RX 3697;15086;MAN x d 02 54;9983;MAN n 03 51
10722;F;Quintessenza Estrella;MAN x n 02 54;02-10-1983;FD RX 3694;8096;MAN x n 02 54;8937;MAN n 03 24 51
11010;M;Luno's Bamse;MAN x n;06-05-1991;FD RX REG 1486;994;MAN n 51;20897;MAN n 51
11305;F;Luno's Misja;MAN n 51;06-05-1991;FD RX REG 1487;994;MAN n 51;20897;MAN n 51
12019;F;Honki van Tibeert;MAN w 51;...;NKS K 53-056;1486;MAN d 51;8933;MAN w 51
12171;M;Quintessenza Candy;MAN n 53;22-05-1991;FD LO 63906;6335;MAN n 51;6042;MAN n 51
12396;M;Quintessenza Clyde Jago;MAN x n;22-05-1991;FD RX 7475;6335;MAN n 51;6042;MAN n 51
12506;M;Tjalfe Made in Denmark DK;MAN n 03 53;02-10-1990;FD LO 61388;2834;MAN n 03 51;10087;MAN f 03 53
12701;M;Odin Made in Denmark DK;MAN d 03 53;08-06-1990;FD LO 60447;2834;MAN n 03 51;10087;MAN f 03 53
15087;M;Quintessenza Yoko;MAN n 03 52;31-08-1990;FD LO 61757;6335;MAN n 51;8104;MAN n 03 51
15126;M;Røde Erik Made in Denmark DK;MAN d 02 53;21-11-1985;FD RX 4435;2193;MAN n 02 51;10087;MAN f 03 53
15141;M;Manolito van Manxdrecht;MAN x w 62 54;...;KSM 3.388;8103;MAN d 22 51;12019;MAN w 51
15475;F;Quintessenza Isabella;MAN n 03 24 51;...;FD 1466 K;4243;MAN n 03 53;2002;MAN n 03 24 53
16039;M;Quintessenza Vinci;MAN n 03 51;01-11-1985;FD RX 4388;2903;MAN n 02 51;9983;MAN n 03 51
16397;M;Quintessenza Truffaldino;MAN n 53;23-05-1990;FD LO 58984;6335;MAN n 51;8104;MAN n 03 51
16749;F;Quintessenza Yalla Suzy;MAN x n 03 54;31-08-1990;FD RX 7041;6335;MAN n 51;8104;MAN n 03 51
18226;F;Quintessenza Manja;MAN n 03 51;04-05-1992;FD LO 67754;16039;MAN n 03 51;21471;MAN n 03 51
18227;M;Quintessenza Onyx;MAN n 51;14-06-1992;FD LO 67756;15087;MAN n 03 52;63970;MAN n 03 51
18461;M;Quintessenza Opium;MAN n 03 52;14-06-1992;FD LO 67757;15087;MAN n 03 52;63970;MAN n 03 51
19281;F;Quintessenza Logo;MAN n 51;24-05-1989;FD LO 57988;6335;MAN n 51;8104;MAN n 03 51
19503;M;Luno's Spir;MAN n 51;16-04-1991;FD RX REG 1485;994;MAN n 51;19281;MAN n 51
20021;M;Quintessenza Ree Quando;MAN n 03 51;19-09-1992;FD LO 69753;15087;MAN n 03 52;63969;MAN n 02 51
20404;M;Quintessenza Magic Lucky;MAN n 02 51;04-05-1992;FD LO 67755;16039;MAN n 03 51;21471;MAN n 03 51
20894;F;Luno's Nikita;MAN x a 54;16-04-1991;FD RX REG 1483;994;MAN n 51;19281;MAN n 51
20895;M;Luno's Samson;MAN n 51;16-04-1991;FD RX REG 1484;994;MAN n 51;19281;MAN n 51
20896;M;Luno's Basja;MAN n 51;07-02-1992;FD RX REG 1547;19503;MAN n 51;20897;MAN n 51
20897;F;Pusling;MAN n 51;01-10-1989;FD RX REG 1455;;;;
21471;F;Quintessenza Fanfare;MAN n 03 51;09-10-1983;FD RX 3696;2903;MAN n 02 51;8100;MAN x n
21554;M;Sinleo's Music Major of Shelleo;MAN x n 22;...;CFA 0644-000272 V110;;;;
24558;F;Quintessenza Irmelin;MAN n 02 24 51;...;FD 1467 K;4243;MAN n 03 53;2002;MAN n 03 24 53
24631;F;Monas Red Rebecca;MAN d 23 51;...;NHS AK 15.572;8075;MAN e 22 51;25469;...
24717;M;Quintessenza White Dusty Blue;MAN a 02 51;29-08-1990;FD RX 7042;16039;MAN n 03 51;10722;MAN x n 02 54
25044;F;Quintessenza Mona Lisa;MAN n 03 51;04-05-1992;FD LO 67753;16039;MAN n 03 51;21471;MAN n 03 51
25045;M;Quintessenza Raffi;MAN n 03 51;19-09-1992;FD LO 69754;15087;MAN n 03 52;63969;MAN n 02 51
25466;M;Tash me Tum;MAN a 03 22 51;...;GCCF SROS 228737;;;;
25468;M;Tatleberry Brutus;MAN a 51;...;NHS AK 52.048;25466;MAN a 03 22 51;25467;...
26026;M;DK Laxey's Donald;MAN n 03 51;26-12-1992;FD LO 70280;3235;MAN n 51;8105;MAN n 03 52
26028;M;DK Laxey's Dennis;MAN x n 03 54;26-12-1992;FD RX 8580;3235;MAN n 51;8105;MAN n 03 52
26147;M;DK Laxey's Danny;MAN x n 03 54;26-12-1992;FD RX 8579;3235;MAN n 51;8105;MAN n 03 52
26552;M;Quintessenza Gordon;MAN n 52;03-08-1991;FD LO 64806;16039;MAN n 03 51;63970;MAN n 03 51
26823;F;Moirawin Raggey Kayt;MAN g 03 53;05-05-1993;FD LO 73119;30098;MAN x e 02 21;30103;MAN n 03 53
27175;F;Quintessenza Zacha;MAN n 03 52;18-10-1990;FD LO 61756;6335;MAN n 51;21471;MAN n 03 51
30087;F;Rumplestump's Madison of Tarahill;MAN x n 03 54;...;CFA 0661-496243 V0889;;;;
30088;F;Quintessenza Amelita;MAN n 03 23 53;...;MU.R80.MX.DK.16;;;;
30089;M;Tarahill's Countryside Kenwood;MAN a 51;...;CFA 0606-235808 V0386;;;;
30090;M;Twillshire's One 4 The Road;MAN e 22 51;...;CFA 0654-327643 V0587;;;;
30091;M;Tarahill's Loverboy;MAN x n 03 54;...;MU.L92.MAN.USA.38;50319;MAN n 03 51;50320;MAN g 03 51
30094;M;Tetro Taiga of Kellogg;MAN w 62 51;...;GCCF SRNS 080458;;;;
30095;F;Tatleberry Morag;MAN g 03 51;...;GCCF SRNS 079544;;;;
30096;F;Tatleberry Hebe;MAN f 22 51;...;GCCF CS 097694;30094;MAN w 62 51;30095;MAN g 03 51
30097;F;Moirawin Innee Gwen;MAN w 62 52;...;MU.L88.MX.03.3;41873;MAN n 03 53;36794;MAN w 62 51
30098;M;Moirawin Paddy;MAN x e 02 21;...;MU.L92.MAN.06.5;30091;MAN x n 03 54;30097;MAN w 62 52
30100;F;Sita van Manxdrecht;MAN x n 03 54;...;MU.R81.MX.001.2;15141;MAN x w 62 54;30088;MAN n 03 23 53
30101;M;Ringo S. van Manxdrecht;MAN w 62 52;...;MU.R81.MX.001.4;15141;MAN x w 62 54;30088;MAN n 03 23 53
30102;F;Airhey Ardysa van Manxdrecht;MAN n 03 52;...;MU.L82.MX.002.2;30101;MAN w 62 52;30100;MAN x n 03 54
30103;F;Moirawin Ollay Kayt;MAN n 03 53;...;MU.L92.MAN.04.2;30091;MAN x n 03 54;30102;MAN n 03 52
30355;M;Quintessenza Thor;MAN n 03 51;12-02-1995;FD RX 10607;43106;MAN n 03 51;63969;MAN n 02 51
31933;M;Blarney R Micknagle of Lakatail;MAN d 23 53;12-07-1994;FD LO 92526;59506;MAN x n 03;59507;MAN x d 03 23
33554;F;Tra-Mar's Ss Flake of Abanx;MAN w 62;...;CFA 0603-000195 V107;;;;
33721;M;Sinleo Paleface Moons of Cedario;MAN x  e 22;...;CFA 0654-000060 V112;;;;
34599;F;DK Laxey's Daisy;MAN n 03 51;26-12-1992;FD LO 70281;3235;MAN n 51;8105;MAN n 03 52
35760;F;Anq-Ban Ulalumë DK;MAN n 03 52;20-02-1993;FD LO 71031;26552;MAN n 52;27175;MAN n 03 52
36791;M;Darbia Brimwood;MAN e 03 22 51;...;GCCF SRNS 079552;;;;
36792;F;Tatleberry Gaenor;MAN f 03 22 51;...;GCCF SRNS 080461;;;;
36793;M;Darbia Cadwgan;MAN d 03 23 52;...;GCCF CS 004276;36791;MAN e 03 22 51;36792;MAN f 03 22 51
36794;F;Tatleberry Gwenogwen;MAN w 62 51;...;MU.L86.MX.GB.29;30094;MAN w 62 51;30095;MAN g 03 51
36795;M;Tatleberry Geronimo;MAN a 03 22 51;...;GCCF CS 226157;36793;MAN d 03 23 52;30096;MAN f 22 51
36796;F;Tatleberry Haelwyn;MAN g 22 51;...;GCCF SRNS 080459;;;;
36797;F;Tatleberry Rhianwen;MAN w 62 51;...;GCCF SRNS 140181;30094;MAN w 62 51;36796;MAN g 22 51
36798;F;Tatleberry Enfys;MAN f 03 51;...;GCCF CS 150463;36793;MAN d 03 23 52;36797;MAN w 62 51
37558;M;Blue Nabou Ulalumë DK;MAN a 52;17-08-1995;FD RX 10687;71584;MAN a 03 22 52;65847;MAN x a 23 54
37931;F;Quintessenza Burlesque II;MAN n 03 51;08-06-1995;FD LO 81316;43106;MAN n 03 51;63970;MAN n 03 51
37946;M;Quintessenza Hokus Pokus;MAN n 03 51;21-05-1996;FD RX 11351;50165;MAN a 02 51;49930;MAN n 03 51
38964;M;Quintessenza Maximus;MAN n 03 51;12-07-1994;FD LO 78634;15087;MAN n 03 52;63970;MAN n 03 51
39371;F;Big blue bear from Ulalumë DK;MAN a 52;17-08-1995;FD RX 10684;71584;MAN a 03 22 52;65847;MAN x a 23 54
39643;M;Guilley;MAN es 23 52;15-07-1993;FD RX REG 1731;;;;
41861;F;V-Miss Mini;MAN n 03 22 53;...;FE.R88.MX.REG.01;;;;
