14;F;Acinthe Angelique van Blue Lover;CRX c 33;...;FE.R83.RC.006.6;16969;CRX n 33;16967;XSH a 33
1251;F;Hilken Red Progress;SBI f;...;GCCF EX 154095;1244;SBI n;2014;XSH f 09
3270;F;Algol Silver Betsa;ABY ns;...;GCCF NS 021011;18808;XSH s;3267;ABY o
3443;F;Breath-Taking's Erle Perle Fnidder-Fnadder;PER n 33;...;FD RX 1880;14354;PER n 33;36028;XLH
3500;F;Syriam's Justine;BSH a;28-10-1990;FD RX 7495;2031;BSH a;1814;XSH g
4032;F;Burra van Sheba's Adiba;ABY n;...;NHS AK 54.495;3266;XSH a 23;3935;ABY o
4798;M;Las Perlas-sin Cepetto;SBI n 21;...;WCF DE 0107 RIEX;6773;SBI a;15481;XLH ns 11
5278;F;Jourdan's Curly Mixi;CRX f;...;FD RX 2485;15710;CRX;15712;XSH
6991;M;Tanholt' Kompromis;OSH d 25;...;FD RX 4484;3230;OSH d;15609;XSH n 25
7102;M;Jo-Jo vom Rococo Schloss;SBI e;...;1.DEKZV LO 082355;8799;SBI e;8801;XLH
7157;M;Val-d'or de Bassecour;SBI n 21;...;1.DEKZV 128366;7154;SBI n;8369;XLH n 22
8799;M;Claudius vom Rococo Schloss;SBI e;...;1.DEKZV LO 071072;4280;SBI n;18985;XLH
8804;F;Action vom Rococo Schloss;SBI f;...;1.DEKZV RX 107395;7102;SBI e;12647;XLH
9457;M;Shwechinthe Eros;SBI c;...;GCCF EX 154585;1369;SBI n;4131;XLH b 33
10948;F;Procol Harum Zazu Phantazi;DRX f;...;FE.R89.RD.016.2;87219;DRX n;87220;XSH f
12638;F;Syriam's Dolly;BSH g;28-10-1990;FD RX 7514;2031;BSH a;1814;XSH g
15086;M;Quintessenza Maëstro Mikkel;MAN x d 02 54;...;FD RX 3348;2903;MAN n 02 51;15148;XSH f 09
15147;M;Billy Brown van Blue Lover;CRX b;...;FE.R84.RC.014.2;16964;CRX d;16967;XSH a 33
15331;M;Hijoy Casanova;DRX ns;...;SVERAK RX 45125;17705;DRX ns 22;4031;XSH ns
16155;M;Pa Tat van Plezier;DRX ns 23;...;1.DEKZV RX 099718;69411;XSH ns 24;17725;DRX f 23
16967;F;Acinthe Amara van Blue Lover;XSH a 33;...;FE.R82.XK.003.1;17;XSH c 33;16965;XSH a 33
16969;M;Pygmalion van Ingeing;CRX n 33;...;LBOF 2440-33;16966;XSH d 33;16968;CRX f
17093;M;Linkret Arctic Slippers;SIA a 03;...;CA RX 88081030;17090;SIA c 21;18809;XSH
19515;M;Chaumiére;CRX e;...;NRR RX 425;19513;XSH a;19514;CRX f 09
19872;M;Cooli On Apromise;CRX n 09;...;GCCF CSREF 025289;19882;CRX n;20238;XSH n 09
19876;F;Thamakan Silver Ginnie;BML bs 11;...;FD RX REG 1244;20255;BML ns 11;15152;XSH
19882;M;Cooli Jackdaw;CRX n;...;GCCF SRNS 141083;19881;CRX c;20236;XSH n
20234;M;Amaska Ambassador;CRX d 09;...;SVERAK RX 45352;20229;CRX d 09;20233;XSH f 09
20243;F;Kralahome Heavencanwait;CRX b 09 22;...;SVERAK RX 91072;19872;CRX n 09;19875;XSH b 22
20255;M;Thamakan Silver Carioco;BML ns 11;...;FD RX REG 1114;78;XSH x ns;31409;BML ns 11
20483;F;DK Rønholms Choko;SIA n;...;FD RX 4182;20485;SIA n;20486;XSH a 33
23162;F;Syriam's Chiquita;BSH g;28-10-1990;FD RX 9392;2031;BSH a;1814;XSH g
24447;M;DK Malevitch Blue Point Mr. Pyrus;XSH a 33;12-12-1997;FD RX 12552;49215;XSH a 33;69282;XSH a 33
25664;F;Syriam's Daisy;BSH g;28-10-1990;FD RX 7829;2031;BSH a;1814;XSH g
34836;F;DK Paragon Blue Killmouski Miss Hyde;RUS;05-12-1998;FD RX 13191;56581;RUS;67071;XSH a 33
35368;M;ET;DRX n;...;SVERAK RX 97067;35363;DRX ns;35365;XSH n
35376;F;Ikari Donna;DRX fs 22;...;GCCF SRNS 276463;17702;DRX ns 22;50596;XSH g 22 32
36025;F;Thamakan Silver Joy;BML ns 11;11-10-1988;FD RX REG 1309;20255;BML ns 11;15152;XSH
37469;F;Cora-Terry's Daiquiri;SBI n 21;02-05-1988;FD RX 6571;3584;XLH n 22;14783;SBI n
38173;M;Big Boy 98-105;BML as 11;29-05-1998;FD RX 13018;55693;XSH ns 11;47814;BML ns 11
38588;M;DK Attemoses Sophus;CRX e;...;FD RX 5767;15711;CRX a;15720;XSH f
38716;M;Roly Poly R. de Tuatha-De-Danann;BSH ns 11;...;NCT A926255;22312;BSH ns 11;24029;XLH ns 11
38990;F;Shwechinthe Jinjarri;SBI n;...;GCCF NSSR 143218;38989;SBI n;4131;XLH b 33
49712;F;B-Cleopatra;BSH w 63;...;CA RX 91101510;49708;XLH b;49711;BSH w 62
50589;F;Ikari Venus;DRX fs;...;GCCF SRNS 217223;17702;DRX ns 22;50596;XSH g 22 32
50593;F;Ikari Vanity Fair;DRX ns;...;1.DEKZV LO 191633;50592;DRX ns 09;50596;XSH g 22 32
51012;F;DK Egalia's Blue P Sava Abbalu Malevitch;RUS;12-12-1996;FD RX 11722;49215;XSH a 33;71440;RUS
53066;M;DK Malevitch P Tiger Tyson of Egalia;RUS;08-12-1996;FD RX 11651;49215;XSH a 33;58951;RUS
54676;M;Ad Vent van Plezier;DRX n 23;...;MU.R89.RD.FE.058;24144;DRX c 22 32;54669;XSH n 09
54842;M;DK Steenbergs Burmilla Ollie;BML ns 11;18-06-1998;FD RX 13148;55693;XSH ns 11;65050;BML ns 11
