74189;M;Lucky Boy van 't Holrakkersbos;SFS non a 09 7;...;BC 2543;;;;
74190;F;Repelsteeltje Wildebras;SFS non a 09 7;...;BC 6472;74189;SFS non a 09 7;;
74191;F;Donny Wildebras;SFS non g 09 7;...;AICC 04003532;74188;BSH e;74190;SFS non a 09 7
74192;F;Fugiho's Nadeche;SFS non a 09 7;...;SNVK 96-09-161K;74185;BSH c;74191;SFS non g 09 7
74193;F;Fugiho's Lady Colombella;SFS non w 62 7;13-06-1999;FD RX 113558;74184;BSH w 62;74192;SFS non a 09 7
91217;F;DK Pasht's Heaven is a Snow Tuborg;SFS non w 62 7;15-05-2001;SVERAK RX 177604;43173;BSH b 03;74193;SFS non w 62 7
91218;F;DK Pasht's Heart of the White Queen;SFS non w 62 7;15-05-2001;FD RX 113560;43173;BSH b 03;74193;SFS non w 62 7
91219;F;DK Pasht's Dreaming of White Satin;SFS non w 62 7;15-05-2001;FD RX 113561;43173;BSH b 03;74193;SFS non w 62 7
91220;M;DK Pasht's Hektor;SFS non w 62 7;09-12-2001;FD RX 113562;45440;BSH e;74193;SFS non w 62 7
91221;M;DK Pasht's Hannibal;SFS non w 62 7;09-12-2001;FD RX 113563;45440;BSH e;74193;SFS non w 62 7
91222;F;DK Pasht's Half Way to Heaven;SFS non e 73;09-12-2001;FD RX 113564;45440;BSH e;74193;SFS non w 62 7
96683;M;DK Pasht's Iddy Biddy;SFS non w 62 7;14-07-2002;FD RX 117406;84461;BSH c;91218;SFS non w 62 7
96684;F;DK Pasht's Iniki;SFS non w 62 7;14-07-2002;FD RX 117407;84461;BSH c;91218;SFS non w 62 7
96685;F;DK Pasht's Izzy Isabella;SFS non c 09 7;14-07-2002;FD RX 117408;84461;BSH c;91218;SFS non w 62 7
96878;M;DK Pasht's High Flying Dandy;SFS non w 62 7;05-08-2002;FD RX 117565;73279;BSH n 22;74193;SFS non w 62 7
96879;F;DK Pasht's Cl'Early Fugiho;SFS non w 62 7;05-08-2002;FD RX 117566;73279;BSH n 22;74193;SFS non w 62 7
96880;F;DK Pasht's Linda Bluespot;SFS non a 24 7;05-08-2002;FD RX 117567;73279;BSH n 22;74193;SFS non w 62 7
99399;F;Helia de Greystoke;SFS non a 09 7;...;FFCB 92/344;;;;
104270;M;Åkersborgs Dear One;SFS non w 62 7;14-12-2002;FD RX 122650;104263;BSH a 33;91217;SFS non w 62 7
104577;M;DK Pasht's Kall me Kincat D'ear;SFS non e 09 7;15-06-2003;FD RX 122893;84461;BSH c;91218;SFS non w 62 7
104578;F;DK Pasht's Kiss F'ear-chara;SFS non w 62 7;15-06-2003;FD RX 122894;84461;BSH c;91218;SFS non w 62 7
105068;F;Tikikats White Heather;SFS non w 62 7;...;CA RX 86050302;;;;
105098;M;Pendlemist Gordon Highlander;SFS non ns 24;08-09-1998;TICA AOP 090898 042;105064;BSH ns 24 62;105107;SFS non a 73
105099;F;Kiss Me Kate of Garlianna;SFS non g 73;01-07-1997;TICA AOP 070197 058;105100;SFS non a 73;105070;BSH f
105100;M;Tikikats Blue Max;SFS non a 73;03-04-1991;CA RX 92060802;105067;BSH a;105068;SFS non w 62 7
105103;M;Pendlemist the Wolfman;SFS non ns 09;21-04-2000;TICA AOP 042100 048;105098;SFS non ns 24;105097;BSH ns 03 24
105104;M;Pendlemist Charlie Chaplinear;SFS non ns 09;23-05-2001;(SE)SVERAK RX 181608;105103;SFS non ns 09;105099;SFS non g 73
105105;M;Åkersborgs Che-ears To You!;SFS non n 09 2;14-03-2003;FD RX 123209;105104;SFS non ns 09;105102;BSH f 22
105107;F;Tikikats 'Er Inth'Blue Bonnet;SFS non a 73;08-07-1996;TICA AOP 070896 053;;;;
112681;M;DK Pasht's Lord Lucius;SFS non ds 09;26-05-2004;FD RX 128111;91432;BSH ns 22 64;91218;SFS non w 62 7
112682;F;DK Pasht's Lady L'ear Chatterley;SFS non ns 09;26-05-2004;FD RX 128112;91432;BSH ns 22 64;91218;SFS non w 62 7
112683;F;DK Pasht's Lady Lak'earisha;SFS non a 09 2;26-05-2004;FD RX 128113;91432;BSH ns 22 64;91218;SFS non w 62 7
112684;F;DK Pasht's Lady Rosa;SFS non fs 09;26-05-2004;FD RX 128114;91432;BSH ns 22 64;91218;SFS non w 62 7
113093;M;DK Pasht's Luke Skywalk'ear;SFS non e 71;05-04-2004;FD RX 128452;99481;BSH b;91222;SFS non e 73
113094;M;DK Pasht's Lord l'ear Lancelot;SFS non e 73;05-04-2004;FD RX 128453;99481;BSH b;91222;SFS non e 73
113095;M;DK Pasht's Lord l'ear Lennox;SFS non e 73;05-04-2004;FD RX 128454;99481;BSH b;91222;SFS non e 73
122048;M;Kaptn Kirk de Baer v. Orlas;SFS non c 09 3;...;HK 02-01-013;122047;BSH x a 03 33;122049;SFS non a 09 2
122049;F;Tinja's Desdemona de Baer;SFS non a 09 2;...;DRV 030792-EXP-KH;;;;
122050;M;Tinja's Chokolatcracker de Bear;SFS non n 09 3;...;HK 03-07-109;122048;SFS non c 09 3;122046;BSH x f 03 33
122150;F;Ming Mang's Coco Chanel nr.5;SFS non c 09 3;30-06-2004;FD RX 134288;122050;SFS non n 09 3;122043;BSH ny 23
127643;M;DK Pasht's Mr. L'Ear Jet;SFS non c 73;20-11-2005;FD RX 138046;104270;SFS non w 62 7;114572;BSH c
127644;F;DK Pasht's Lady Morwenna;SFS non b 73;20-11-2005;FD RX 138047;104270;SFS non w 62 7;114572;BSH c
127802;F;DK Pasht's My l'ear Marzipan;SFS non b 09 2;01-11-2005;FD RX 138198;119361;BSH b 21 33;122150;SFS non c 09 3
127803;M;DK Pasht's Mr. Mumse;SFL non n 09 7;04-11-2005;FD RX 138199;112491;BSH b 03;91218;SFS non w 62 7
130573;F;Praline van Parijs;SFS non f 22;...;CFB 16822;;;;
130574;M;Hocus Pokus Jonny Bee Good;SFS non ns 22;...;BKKV 012-0500;119373;BSH x ns 11 33;130573;SFS non f 22
130576;F;Ming Mang's Noblesse;SFS non ns 22;...;NCT A2002-7183;130574;SFS non ns 22;130575;BSH ns 22
136290;M;DK Pasht's New Mission Impossible;SFS non b 09 7;01-09-2006;FD RX 143708;99481;BSH b;91218;SFS non w 62 7
136291;M;DK Pasht's Namu Ear-lope;SFS non c 09 7;01-09-2006;FD RX 143709;99481;BSH b;91218;SFS non w 62 7
136292;F;DK Pasht's Night at the Opera;SFS non w 61;01-09-2006;FD RX 143710;99481;BSH b;91218;SFS non w 62 7
159645;F;DK Pasht's Olivia;SFS non w 62 7;26-06-2007;FD RX 153134;159642;BSH d 22;91218;SFS non w 62 7
162612;F;Kehala van Pahaha Tecihila;SFS non w 62 7;...;FHK KH 2001-38;;;;
162668;M;S*Athcatlas Oliver;SFS non n 09 2;20-05-2006;FD LO 154674;162665;BSH b 03;162666;BSH f 24
