66;M;Zerar;SIB;...;CEPKK 35/91/SIB;22525;SIB;22526;SIB
6501;F;Darisa Ajatodbewna;SIB;...;XX 551;;;;
7874;M;Fjedor Kirodovic;SIB;...;XX 550;;;;
22525;M;Maks;SIB;...;XX 548;;;;
22526;F;Ljusja;SIB;...;XX 549;;;;
22528;M;Tjukina's Bonifác;SIB n 09;...;XX 552;102964;...;102965;...
22529;F;Xaborova's Musimura;SIB;...;XX 553;102964;...;102965;...
22530;F;Mari Vladimirovna Iz Moskwa;SIB n 09 23;...;Z MOSKVY;22528;SIB n 09;22529;SIB
22531;M;Michajlovna's Miron;SIB n;...;XX 554;102964;...;102965;...
22533;F;Olga;SIB;...;CPKK 36/91/SB;59563;SIB;59564;SIB a 09 21
31019;F;Abba Zarzuela;SIB ns 22;02-04-1997;FD RX REG 1811;59571;SIB ns 23;58931;SIB n 22
33872;M;Pepino Zarzuela;SIB n 23;06-06-1995;FD RX REG 1768;41965;SIB;45472;SIB n 22
33988;M;Zacky Zarzuela;SIB n 09 24;05-05-1995;FD RX REG 1772;41965;SIB;40380;SIB n 25
34604;F;Murcsita Szeliger;SIB n 09 22;...;FEXP-SZ-67;59568;SIB;40378;SIB
34661;M;Sasha Zarzuela;SIB n 22;16-02-1994;FD RX REG 1727;36950;SIB n 23;58931;SIB n 22
34662;M;Nikita Zarzuela;SIB n 22;16-02-1994;FD RX REG 1728;36950;SIB n 23;58931;SIB n 22
34663;F;Zuleika Zarzuela;SIB n 22;16-02-1994;FD RX REG 1729;36950;SIB n 23;58931;SIB n 22
36950;M;Nikolaj OK Sibiria;SIB n 23;22-04-1990;CEPKK 23/91/SIB;59570;SIB n 09 23;59569;SIB f 09 22
37851;F;Marilu Zarzuela;SIB n 23;06-06-1995;FD RX REG 1767;41965;SIB;45472;SIB n 22
40364;M;Kuzma;SIB;...;XX 905;;;;
40366;M;Marsz;SIB;...;XX 907;;;;
40367;F;Zoszka;SIB n 09 21;...;XX 908;;;;
40368;F;Uszja Usszuri;SIB;...;XX 910;;;;
40370;M;Vaszja;SIB d 23;...;XX 912;;;;
40371;F;Anfisza Szibiriada;SIB f 23;...;XX 913;;;;
40372;F;Berta Szibiriada;SIB g;...;XX 914;40370;SIB d 23;40371;SIB f 23
40373;F;Verinyeja Szibiriada;SIB;...;SIB/91-1384;59567;SIB;40372;SIB g
40374;M;Trajan Csaroit;SIB n 23;...;FEXP-SZ-68;59566;SIB;40373;SIB
40375;M;Valet;SIB;...;XX 915;;;;
40376;F;Murlina;SIB;...;XX 916;;;;
