134867;M;Oaktree's Socrates;SRL d;...;CFA 5710-750879;;;;
134868;F;Woolibaar Bon Bon of Pamacs;SRS n 33;...;CFA 4973-1059952;;;;
134869;M;Oaktree Showing My Socs of Pamacs;SRS n 33;07-03-1997;CFA 4972-1179596;134867;SRL d;134868;SRS n 33
134870;M;Lil'Bopeep's Mr Sunshine;SRL w;...;CFA 5702-961277;;;;
134871;F;Kiasutha Singin The Blues of Pamacs;SRL a;31-07-1997;CFA 5707-1179597;134870;SRL w;134862;PER ns 11
134872;F;Insider's First Lady Curly;SRS as 11;21-08-2000;TICA AON 082100 030;;;;
134873;M;Karpfenpfeifer Bandith of Royalbear;SRL a 22;05-01-2001;TICA AOP 050101 036;134861;PER as 22 62;134872;SRS as 11
134874;M;Royalbear's Burny;SRS a 23;...;ÖRCC 0625-Riex;134873;SRL a 22;134858;BSH a
134875;M;Royalbear's Hades;SRS c;26-07-2003;GP 297/3C192-Riex;134874;SRS a 23;134860;BSH c
134876;M;Woolibaar Cracker Jack of Katzshack;SRS n 24;...;CFA 4790-1068231;;;;
134877;M;Katzshack's Brando;SRS ns 11;15-07-1997;CFA 4732-1197236;134876;SRS n 24;134866;PER ns 11
134878;F;Kurlipurrz Hearts Desire of Pomacs;SRS js 21 33;27-05-2001;CFA 4791-1423536;134877;SRS ns 11;134865;PER h 33
134879;M;Pomacs Winnie The Blue;SRS a;16-04-1999;CFA 4706-1275992;134869;SRS n 33;134871;SRL a
134880;F;Pomacs Promise From Heart;SRL g 33;04-04-2004;CFA 5987-1519605;134879;SRS a;134878;SRS js 21 33
134881;F;Pointillstic Bangkirai;SRS g 33;15-02-2006;FD RX 142842;134875;SRS c;134880;SRL g 33
136766;F;Karpfenpfeifer's Carline;SRS a;01-05-2001;TICA AON 050101 009;134861;PER as 22 62;134872;SRS as 11
136767;M;Nicolas vom Zauberland;SRS as 11 33;...;DRKV 03-11806 RIEX;136765;BSH ns 11;136766;SRS a
136769;M;Tabaluga vom Zauberland;SRS as 33;...;NCT IA2004-8251;136767;SRS as 11 33;136768;BSH x ns 21 33
136772;M;Zarzillo v. Deutschen Eck;SRS a;...;HKB 97-10-300;;;;
136774;F;Gloria v. Katharineholz;SRS f 03;...;TICA CU SR260501 002;136772;SRS a;136773;PER f 03
136775;F;Biggi v. Aurachgrund;SRS h;...;WCF DE 63059 RIEX;136771;BSH a;136774;SRS f 03
136776;F;Honey Lana van Brifety;SRS h;...;NCT A2004-7865;119345;BSH c 33;136775;SRS h
136777;M;Curly Sherman van Brifety;SRS c 33;06-08-2006;FD RX 144050;136769;SRS as 33;136776;SRS h
159061;M;DK Calico Moon's Sun is Shining;SRS e 33;28-07-2007;FD RX 152963;136777;SRS c 33;134881;SRS g 33
159062;F;DK Calico Moon's Let Sun Shine;SRS a 33;28-07-2007;FD RX 152964;136777;SRS c 33;134881;SRS g 33
159458;F;La Purr'fect Oreo Cookie;SRL n;...;CFA 5709 1363578;;;;
159459;M;Insider's Curly Carlson;SRL a;...;TICA AON 082100 017;;;;
159460;M;Sheeplet Lamp Chop;SRS w 62;...;CFA 4702 1328783;;;;
159461;M;Zeus von der Spitzenstadt;SRS ns 11;29-08-2001;TICA AOP 082901 004;159459;SRL a;159456;EXO ns 22 62
159462;F;Sheeplet Witchie Woman;SRL n;...;CFA 5709 1495871;159463;BSH a;159458;SRL n
159657;M;Sheeplet Champagne on Ice;SRS e 03 24;...;CFA 4760-1469283;159460;SRS w 62;159457;BSH g 03
159658;M;Sheeplet Mr. Tibbs;SRL a 03;...;CFA 5760-1541541;159657;SRS e 03 24;159462;SRL n
159762;M;S*Kastanjeback's Dell Mondo;SRS a;28-04-2007;FD RX 153184;159660;SRS a;159661;BSH g
160942;M;Pamacs Socrebleu;SRL a;...;CFA 5706-1240353;;;;
160943;F;WHF Sweet Curl;SRL fs 03;...;CFA 5761-1414206;161168;SRL d 22;161167;SRL f 03
160944;F;Berrycurl's Parfait Of Purrfectcurl;SRL ds 03;...;CFA 5761-1517103;160945;SRL es 03;160943;SRL fs 03
160945;M;Berrycurls Bear Necessities;SRL es 03;...;CFA 5716-1470629;161129;SRS a;161128;SRL fs
160946;M;Calicurl's Igor Of PurrFectcurl;SRS d;...;CFA 4710-1528519;161133;SRL a;161132;SRS f 03
160947;F;Calicurl's Ophelia;SRL n 33;...;CFA 5799-1541938;161135;SRS n 33;161134;SRL f
160948;M;Calicurl's Dexter;SRS d 03;...;CFA 4760-1542108;160946;SRS d;160944;SRL ds 03
160949;M;Calicurl Sugar Candymoon;SRS n;18-03-2007;FD RX 153650;160948;SRS d 03;160947;SRL n 33
161120;F;Pamacs Something To Talk About;SRL a;...;CFA 5707-1317715;;;;
161124;M;Pamacs Calypso;SRL ns 33;...;CFA 5790-1313382;160942;SRL a;161122;PER x
161129;M;Pamacs Christopher Robin;SRS a;...;CFA 4706-1385502;134879;SRS a;161122;PER x
161133;M;Pamacs Blue's Brother of Woolibaar;SRL a;...;CFA 5706-1423636;134869;SRS n 33;134871;SRL a
161134;F;Pamacs Colors-of- Autumn of Calicurl;SRL f;...;CFA 5747-1430327;161124;SRL ns 33;161127;SRL f
161135;M;Berrycurl Teddiebear;SRS n 33;...;CFA 4972-1470743;161129;SRS a;161128;SRL fs
161136;F;Berrycurl's Coat- Of-Many-Colors;SRL f;...;CFA 5747-1470630;161129;SRS a;161128;SRL fs
161137;M;Pamacs Made In Idaho Of Calicurl;SRL n 33;...;CFA 5790-1526379;161131;...;161130;...
161138;F;Calicurl's Yoda;SRS f;...;CFA 4747-1542106;161133;SRL a;161132;SRS f 03
161139;M;Calicurl's Mikey;SRL d;...;CFA 5798-1541939;161135;SRS n 33;161134;SRL f
161140;F;Calicurl's Tater Tot;SRL n;...;CFA 5973-1541941;161137;SRL n 33;161136;SRL f
161141;M;Calicurl's Casper;SRL n;...;CFA 5708-1542109;161139;SRL d;161138;SRS f
161142;M;Calicurl Blue Curly Bear;SRL a;29-01-2007;TICA SBV 012907 064;161141;SRL n;161140;SRL n
161148;M;Pinamadera Gus Of La Purr'Fect;SRS a;...;TICA 5706-1124365;;;;
161149;F;Pamacs Elvira Of LapurrFect;SRS n;...;TICA AOT 071196 049;;;;
161152;M;The Great Red Baron of LapurrFect;SRS d 03;...;TICA AOP 041598 062;;;;
161153;F;Oaktree Rosieo'Donwool Of Woolibear;SRS f 33;...;CFA 4983-1130512;;;;
161154;M;Woolibaar Sunrise Jubilee;SRS es 11;...;CFA 4790-1224511;;;;
161159;F;LapurrFect Shadow Girl;SRS ns 03 11;...;TICA AOT 101397 020;161148;SRS a;161147;PER x
161160;M;LapurrFect El Zorro The Great;SRL n;...;TICA AOT 040498 034;161150;PER n 03 22;161149;SRS n
161161;F;LapurrFect Punkin Puss;SRS f 03;...;TICA AOP 020800 039;161152;SRS d 03;161151;PER x
161162;M;LapurrFect Teaser;SRL n;...;TICA BOP 011300 016;161152;SRS d 03;161149;SRS n
161163;F;Woolibaar I Am Curious Blue;SRS g 33;...;TICA 4987-1288770;161154;SRS es 11;161153;SRS f 33
161166;M;LapurrFect Howlalot Of Reigningcats;SRS as 11;...;TICA BOP 060199 054;161160;SRL n;161159;SRS ns 03 11
161167;F;Oklahoma Twister of WHF;SRL f 03;...;TICA BOP 020201 025;161162;SRL n;161161;SRS f 03
161168;M;Deenewkurl Slow Gin Fuzz;SRL d 22;...;TICA 5762-1350654;161164;PER d;161163;SRS g 33
161169;F;Reigningcat's Evening Serenity;SRL ns 11;...;TICA AOP 051301 009;161166;SRS as 11;161165;PER b
161170;M;WHF Oscar Again;SRL n 03;...;TICA BOP 051402 010;161168;SRL d 22;161167;SRL f 03
161171;F;WHF Shadows Curl of Lykken;SRL ns;31-03-2006;TICA BOP 033106 030;161170;SRL n 03;161169;SRL ns 11
161919;F;DK Calico Moon's Frida Kahlo;SRS f;11-03-2008;FD RX 154231;160949;SRS n;134881;SRS g 33
161920;M;DK Calico Moon's Pablo Picasso;SRS a;11-03-2008;FD RX 154232;160949;SRS n;134881;SRS g 33
162598;M;Moirja's Fuzzy Face;SRS ds;...;CFA 2990-1083477 V1297;;;;
162604;F;Moirja's Puff Puff Cocoa Puff;SRL ds;...;CFA 2961-1158845 V1299;162598;SRS ds;162599;BSH n 03 23 62
162855;F;Kuddelmuddel vom Grutholz;SRL ns;...;EC-SEL-R-1106-066;162851;SRL ns;162850;PER b
162861;M;Handsome Cinnamon von Grigoleit;SRL b 09;...;EC-SEL-LO-3013/1.05;162859;SRL c 09;162860;BSH o
162980;M;Diamond Snowflake Ivan Flokati;SRS ns 11;...;KVL 99-192-1025-9 RIEX;;;;
162981;F;Curly Yaleane from Sham;SRS f 03;...;SEL-RIEX-2601/5.05;162977;BSH d 03;162855;SRL ns
162982;M;Jofra's Curly Camelot;SRS a;05-02-2008;FD RX 154967;159230;BSH c;162981;SRS f 03
163447;F;Celina von Westhausen;SRS ns 11;...;EZVS e.V 01046293;;;;
165251;F;Kochav Ha-Carmel Willy-Nilly;SRL g 03;...;ICCF 014/00/SPH;;;;
165608;F;Flashpaws Paint Box;SRS f;...;GCCF CSSR 084989;;;;
165700;F;DK Noer's Miss Marbel;SRS n;13-07-2008;FD RX 156199;135865;BSH b;159062;SRS a 33
165832;M;Omega Fiery Skipper of Minusdetails;SRS f 03;...;CFA 1660-793916 V0992;;;;
165833;F;Co-Mc Topsy of Minusdetails;SRS g 33;...;CFA 0649-882439 V1293;;;;
165918;M;DK DetVarKattens Academy Award;SRS d 03 22;08-01-2009;FD RX 156306;134150;BSH c 03;158649;BSH n
166295;F;Catbalu Bella;SRS g 03;...;GCCF CSREF 557104;;;;
166300;M;Catbalu Indiana;SRS d 03;...;GCCF CSEXP 590900;166294;BSH n;166295;SRS g 03
166303;F;Catbalu Frascati;SRS a 03;...;GCCF CSREF 584193;;;;
166304;F;Catbalu Maid To Order;SRS p 03;...;GCCF CSEXP 634362;166302;BSH p;166303;SRS a 03
166305;F;Catbalu Xante;SRS o 03;...;GCCF CSEXP 671385;166301;BSH o;166304;SRS p 03
166307;M;Catbalu Creme-Royale;SRS e;...;GCCF CSEXP 639937;166300;SRS d 03;166306;BSH r
166308;M;Catbalu Cinnamon-Moon;SRS o;30-03-2008;FD RX 156536;166307;SRS e;166305;SRS o 03
166583;F;DK Calico Moon's Opal Fire;SRS f;06-04-2009;FD RX 156730;166308;SRS o;161919;SRS f
166584;F;DK Calico Moon's Amber of Lykken;SRS f;06-04-2009;TICA SBV 040609 055;166308;SRS o;161919;SRS f
167231;M;DK Noer's Stichts;SRS n 33;18-05-2009;FD RX 157186;160949;SRS n;159062;SRS a 33
167233;M;DK Noer's Ganzo;SRS n 33;18-05-2009;FD RX 157188;160949;SRS n;159062;SRS a 33
167555;M;IDP*Monzabina's Ante;SRL ns;...;(S)SVERAK RX 164910;;;;
168728;M;Fuego vom Chamäleon;SRL w 62;...;FFH LO 51746;;;;
171977;M;DK Pasht's Krøl-Bøf;SRS n;20-07-2010;(DK)FD RX 200623;160949;SRS n;165700;SRS n
184081;M;Curly Oberon van Brifety;SRS c 33;...;A2006-7251;;;;
184082;F;Big Panther's Top Secret;SRS a 03;...;IRCC 10381;184081;SRS c 33;184080;PER f 03
184083;F;Big Panthers Lola of Lykken;SRS gs;...;AOP 093008;184079;BSH es 11;184082;SRS a 03
184085;M;Dante Allegonda;SRS e 09;...;(NL)SRS 0703.00;;;;
184087;F;Net Effe Anders Snowy Girl;SRL w;...;(NL)NLKV 2008.174;184085;SRS e 09;184086;BSH w
184088;M;Curly Ice Bear Da Silva of Lykken;SRL w;...;TICA BOP 050209 059;184410;SRL es;184087;SRL w
184089;F;Lykken Snedronning;SRL w;03-05-2010;(DK)FD RX 209491;184088;SRL w;184083;SRS gs
184410;M;Spirit Color's Mr Bean;SRL es;...;SEL-ES DE 8518 RIEX;159459;SRL a;184084;PER gs 12
185507;M;Lykken First Joy In Straight;SRL e 03;...;TICA AOP 080109 049;161142;SRL a;185506;BLH g 03
185508;F;I'm The Greatest vom Grutholz;SRS q;...;EC-Sel-R-0503-211;;;;
185509;F;SeriousCats Tahiti;SRS o 09;...;TICA ZBT SR 250706 005;188788;BSH p 03;185508;SRS q
185512;F;Celandine's Curly Chayenne Joya;SRL g 09;...;AOP 110307 030;162861;SRL b 09;185511;PER g 22
185513;M;X-File von der Hasseler Linde;SRS o;...;TICA AON 020109 038;185499;BLH b;185509;SRS o 09
185514;F;Lykken First Chocolate Curl;SRL h;...;TICA BOP 111809 051;185513;SRS o;185512;SRL g 09
185515;F;Lykken Curly Ronja;SRL e;18-05-2011;(DK)FD RX 210419;185507;SRL e 03;185514;SRL h
199049;M;Pointilistic Freijo Angelin Str8;SRL e 33;...;TCC S02 SL 180307 004;202865;SRS c 33;202866;SRL g 33
199050;F;Pointilistic En Attendant Godot;SRL c 33;...;RCC S02 SL 160307 010;202867;SRL a 33;202868;SRS c 33
199051;M;Pointilistic Jalapeno Popper;SRL c 33;...;TCC S03 SL 130408 003;199049;SRL e 33;199050;SRL c 33
199052;M;Calicurl's Frank;SRS d 33;...;Missing Info (321);;;;
199054;F;Pointilistic Gingko Leaf;SRS f 33;...;TCC S01 SR 210707 004;199052;SRS d 33;199053;BSH c 33
199055;M;Nite Winds Richard Lion Heart;SRS d 03;...;Missing Info (323);;;;
199100;M;Curly Looby Lu From Sham;SRS e;...;Missing Info (330);;;;
199101;F;Curly Odessa From Sham;SRL c;...;Missing Info (331);;;;
199102;M;Courtlycats Heaven Sent;SRS a 03;...;Missing Info (332);;;;
199104;F;Precious Thirza Van Brifety;SRS g 03;...;Missing Info (335);199102;SRS a 03;199103;BSH j 33
199105;M;Curly Octavian Tristan From Sham;SRS c;...;Missing Info (334);199100;SRS e;199101;SRL c
199106;M;Curly Zippo Brilliant Spark;SRL e 33;...;RU-170-09/LO-238-SRS/09;199051;SRL c 33;199054;SRS f 33
199107;M;Curly Daglo Van Brifety;SRL c;...;GCCF CSSR 734206;199105;SRS c;199104;SRS g 03
199108;F;Sheeplet Tootie Fruitie;SRL g 03;...;CFA 5719-1541542;159657;SRS e 03 24;159462;SRL n
199109;F;Curly Larissa Van Brifety;SRL a 03;...;GCCF CSSR 757842;199107;SRL c;199108;SRL g 03
199110;F;Wendy Brilliant Spark;SRS fs 22;...;Missing Info (324);;;;
199111;M;Bernard From Lady Sue;SRL d 03 23;...;(RU)AB.001/SRX/2007;199055;SRS d 03;199110;SRS fs 22
199112;F;Qubo Bimba Brilliant Spark;SRS d 03 22;...;RU-170-09/LO-177-SRS/09;199111;SRL d 03 23;199054;SRS f 33
199113;M;Curly Ecosse Brilliant Spark;SRL d;...;GCCF CS 815741;199106;SRL e 33;199112;SRS d 03 22
