17;M;Brylou Louis van Blue Lover;XSH c 33;...;FE.R81.XK.001.1;;;;
78;M;Penric Quicksilver;XSH x ns;...;FD RX 4412;8223;PER ns 12;15129;BUR f
1814;F;Syriam's Isis;XSH g;07-06-1989;FD RX REG 1336;33284;PER e;28391;BSH g
2014;F;Hilken Red Poppy;XSH f 09;...;GCCF EX 063812;;;;
2108;F;Maya Granat;XLH ns 12;16-06-1991;FD RX 7469;18914;BSH ns 12;34530;BSH ns 11
2337;M;Emil Doucet af Vendsyssel;XLH a 33;13-08-1991;FD RX REG 1477;11681;PER b;19151;SBI n
2906;F;Maya Turelure;XSH ns 24;...;FD RX 4049;;;9565;PER ns 12
3266;M;Blue-Abel van Sheba's Adiba;XSH a 23;...;NHS AK 52.477;;;;
3425;M;DK Laxey's Bob;XSH n 03;07-03-1992;FD RX REG 1583;31170;BSH a;27175;MAN n 03 52
3584;M;Cora-Terry's Peewee;XLH n 22;...;1.DEKZV 130071;375;PER ns 11;14783;SBI n
4031;F;Hijoy Bonnylass;XSH ns;...;GCCF EX 65270;17704;DRX ns;18810;XSH fs 22
4062;M;DK Laxey's Bill;XSH n 03;07-03-1992;FD RX REG 1584;31170;BSH a;27175;MAN n 03 52
4131;F;Mandessa Brita;XLH b 33;...;GCCF SRNS 048098;;;;
4246;M;Shwechinthe Aero;XLH n 33;...;GCCF EX 062818;;;;
4274;F;Maya Aviaja;XLH ns 11;31-03-1991;FD RX 7228;18914;BSH ns 12;29418;BSH ns 11
4907;M;Arkens Askar;XSH s;...;NRR RX EXP 199;;;;
5097;M;DK Laxey's Ben;XSH n 03;07-03-1992;FD RX REG 1582;31170;BSH a;27175;MAN n 03 52
5299;F;DK Chagall's Bernadette;XSH a 03;07-02-1992;FD RX REG 1538;13887;PER a 03;26731;BSH a
5581;F;Soraja Kat-A-Mandu;XSH n;...;XX 218;;;;
5891;M;DK Grandezza's Wimba Sanakijana;XSH n 24;26-12-1990;FD RX REG 1449;11931;RUS;9727;SOK n 22
7126;M;DK Diamond's Mr. Barny;XLH ns 11;08-05-1994;FD RX REG 1733;18458;BSH ns 11;50749;PER ns 11
7139;F;DK Grandezza's Mkora Sanakijana;XSH;26-12-1990;FD RX REG 1450;11931;RUS;9727;SOK n 22
8369;F;Cora-Terry's Mini;XLH n 22;...;1.DEKZV 130073;375;PER ns 11;14783;SBI n
8532;M;Arkens Narcissus;XSH s;...;NRR RX EXP 210;;;;
