10000|F|DK Von Blume's Alexis|PER g|27-04-1991|FD LO 62949|16303|16073
10001|F|Alouette de Larousse DK|SIA n|10-05-1991|FD LO 63098|60684|15847
10002|F|Marica Lady Kamelia|ABY n|25-07-1991|FD LO 65007|8177|296
10003|M|Abial P af Stapris DK|PER e 33|08-03-1988|FD LO 50621|6066|7060
10004|M|DK Spicaway Visti Valentin|NFO a 09|15-02-1991|FD RX 7417|17488|28317
10005|M|Frederik af Ellebæk|PER c 33|14-04-1991|FD LO 62693|1619|39311
10006|M|Silver Blue Noah af Fuga|OSH as 24|13-05-1990|FD LO 59545|18111|15418
10007|F|DK Spicaway Vanity Fair|NFO f 09|29-01-1991|FD RX 7377|17488|24451
10008|M|José af Stensgård|PER a 33|08-03-1991|FD LO 62699|1619|53146
10009|M|Oliver af Stensgård|PER a 33|08-03-1991|FD LO 62697|1619|53146
10010|M|Harley af Stensgård|PER a 33|08-03-1991|FD LO 62698|1619|53146
10011|F|DK Bakken's Ariel|PER a 33|...|FD LO 46909|1845|14365
10012|F|Filimus af Stensgård|PER a|08-03-1991|FD LO 62700|1619|53146
10013|M|Gokke af Stensgård|PER c|16-03-1991|FD LO 62701|9770|54014
10014|M|George af Stensgård|PER a|16-03-1991|FD LO 62702|9770|54014
10015|M|Buster af Stensgård|PER a 33|26-03-1991|FD LO 62704|1619|15644
10016|M|Calvin af Stensgård|PER d 33|26-03-1991|FD LO 62706|1619|15644
10017|M|DK Alexis' Alexander|PER a|09-05-1993|FD LO 71660|27756|27929
10018|M|Cosmo á Schacht DK|PER n 33|12-03-1991|FD LO 63342|9945|25200
10019|F|DK Gipsypride's World Wide Web|PER d|17-08-1995|FD LO 82051|33533|27760
10020|F|Agustini's Big Mama Chas|PER g|07-07-1989|FD LO 55964|16538|17168
10021|M|Misty Brown's Gently|PER a 33|29-05-1991|FD LO 63150|3044|34065
10022|M|DK Belle Balou's Indiana Jones|PER a 33|04-04-1991|FD LO 62715|63623|18301
10023|M|Rex Kalgan DK|BSH a|30-05-1994|FD LO 76829|21998|28526
10024|M|Galapagos' Yogi|PER b|18-06-1991|FD RX 7697|11095|35523
10025|F|DK Nabra's Gine|SBI n|05-07-1991|FD LO 64612|52|32308
10026|M|Yucca 94-149|DRX n|27-05-1994|FD LO 77275|31314|37079
10027|M|Rungsholm's Hurricane|PER n|29-07-1991|FD LO 64039|16513|14031
10028|M|DK Winnie's Leonardo|PER n 03|20-07-1991|FD LO 64164|8443|16672
10029|M|Fancy Futte|PER c 33|14-09-1991|FD LO 64737|9770|5047
10030|M|Killinia's White Dande|PER w 62|05-05-1991|FD RX 7198|8748|70770
10031|M|Silvio des Monts Naga|SBI a|...|FD LO 31171|963|2821
10032|F|Fountainhead's Snow-Rose|PER w 62|...|FD LO 23593|13390|576
10033|M|K'Jari Karate of Katrina|PER d 22|09-06-1979|CFA 0110-005576 V0781||
10034|M|Yussof von Sonneck|PER a|...|XX 20||
10035|F|Silver-Honey von Pahlewi|PER ns 12|...|1.DEKZV 015912|6554|13895
10036|M|Simbelair Chief|PER w 62|...|GCCF NS 110243|1656|1657
10037|F|Davian Moonlite Magic of Marsamis|PER e|...|CFA 0115-360588 V0988|13386|13807
10038|M|Loveknot's Jeremy of Denmarkat|PER e|...|CFA 0114-600114 V1190|9007|10037
10039|F|Paisleyprint's Sunburst Sensation|PER f|01-11-1986|FD RX 7212|656|13784
10040|F|De Gazeau Andersine Athina|PER fs|11-05-1990|FD LO 58741|16664|35819
10041|F|DK Chin Col's Lady Eileen|PER ns 12|16-02-1989|FD LO 54161|6954|1963
10042|M|Adrikat's Hatti|PER a 33|23-11-1986|FD LO 46092|2421|16365
10043|M|DK Besser's O'Malley|PER d|26-06-1992|FD LO 68679|22638|22639
10044|F|DK Talk About Dee Dee|PER f|15-06-1991|FD LO 64563|601|16487
10045|M|DK Nusja's Kitaro|PER e 03|02-05-1993|FD LO 72501|29467|41288
10046|M|Kyaleen's Nobody's Perfect|PER e|01-10-1990|FD LO 63805|13646|11998
10047|F|DK Møldrup's Ina|PER e|18-04-1991|FD LO 62890|5960|2393
10048|F|DK Omikron Electra|SIA b|20-05-1992|FD LO 67735|9369|21075
10049|F|DK Zantana's Evelyn|SBI a|20-04-1991|FD LO 63225|52|23274
10050|M|Winnetou's Seal Bastian|SIA n|05-05-1991|FD LO 62766|15234|9773
10051|M|DK Sandra's Creme Berlioze|BSH e|19-07-1992|FD LO 68964|19163|18646
10052|F|De Gazeau Dream Girl|PER f|27-04-1991|FD LO 62736|5657|10040
10053|M|DK Dyhr's Tucsi|PER d|24-05-1991|FD LO 62965|17903|10442
10054|F|Alefs Lilleput of Is-Mis DK|PER f|10-06-1991|FD LO 63379|305|10211
10055|M|Lucifer af Troldhatten DK|PER a 33|27-03-1991|FD LO 62739|1617|6059
10056|M|Lazarutz af Troldhatten DK|PER a 33|27-03-1991|FD LO 62740|1617|6059
10057|F|DK Rockland's Charon|MCO n 22|17-05-1990|FD LO 59525|14764|36805
10058|M|Misty Brown's Eddie|PER a 33|11-05-1991|FD LO 63147|4137|11955
10059|M|DK Nobody's Atila|PER n|07-07-1992|FD LO 68058|8509|34539
10060|M|Kadmos af Taperije DK|PER e|23-04-1989|FD LO 54918|11280|46869
10061|M|Kingstown's C.P.C. Blue Ribbon|PER a|03-02-1994|FD LO 75131|8442|50152
10062|M|Aladdin Ramses DK|SIA a|06-04-1991|FD LO 62747|3808|13832
10063|M|Felix 91-71|SIA a|03-04-1991|FD LO 62799|5532|12756
10064|M|DK Donante's Gustav|ABY o|24-06-1992|FD LO 67974|21429|21873
10065|F|DK Kiru's Lady Leandra|SBI f|22-05-1991|FD LO 63653|61602|6000
10066|M|Skansekrogens Ivan|ABY o|19-12-1991|FD LO 67615|5568|18310
10067|F|Hostrups Lidia|PER f|18-07-1991|FD LO 63438|6718|11291
10068|F|Basse af Lemvig DK|PER g 03|22-05-1995|FD LO 85206|29381|28409
10069|F|DK Troldpila's Mulle|NFO n 22|26-08-1995|FD LO 83177|40051|33124
10070|M|Charlie Noiseless DK|PER a 33|19-02-1992|FD LO 66606|12837|26447
10071|M|DK Kjær's Dustin|SIA n 21|01-11-1990|FD LO 61452|7901|15033
10072|M|Krogården's Eastwood|PER a|21-10-1993|FD LO 73941|9723|31806
10073|M|Paolo af Hajeka|BSH a|03-10-1992|FD LO 69497|19551|57669
10074|F|Filine af Frennepark|PER g 03|08-05-1991|FD LO 62836|10582|37355
10075|M|DK Neldeborg's BMW|SOM o|22-05-1990|FD LO 59253|1481|19537
10076|F|Sille 91-55|NFO n 23|01-02-1991|FD LO 62637|18643|15454
10077|F|Misriya's Nefertite|SIA n|05-04-1991|FD LO 62814|5531|16746
10078|F|DK Di-Di Ma-Lou's Fantasi Lady|PER n 02 62|...|FD LO 52517|8346|6819
10079|M|DK Las Islas's Titan|RUS|25-09-1991|FD LO 65108|6476|7301
10080|F|DK Bredalh's Maya|PER g 33|22-08-1990|FD LO 62769|14650|1010
10081|F|DK Funderburke's Cheri|PER f|04-06-1991|FD LO 64208|18647|12389
10082|F|DK Funderburke's Chanelle|PER f|03-07-1991|FD LO 64209|18647|41430
10083|F|Amanda Mille Fleur DK|PER a|12-08-1990|FD LO 60437|3050|15797
10084|F|Marica Thena|ABY n|...|FD LO 47307|6542|2880
10085|F|Maya Topas|BSH ns 11|31-03-1991|FD RX 7226|18914|29418
10086|M|Sigurd 91-56|NFO n 23|01-02-1991|FD LO 62638|18643|15454
10087|F|Quintessenza Bambola|MAN f 03 53|09-09-1983|FD RX 3697|15086|9983
10088|F|DK Mega Funny Face|MCO g 09 23|31-03-1991|FD LO 63102|17752|28589
10089|M|Adam af Skogåsen|NFO n 09 23|...|NRR RX 51783||
10090|F|DK Junokat's Debbie|PER g|04-09-1990|FD LO 62772|25871|9918
10091|F|DK Kærgaarden's Ami|MCO fs 22|04-02-1995|FD LO 79584|40829|55903
