210000|M|Tilsim dan Mohatu|SOM n|19-07-2013|KVL-02-016286/2013-m|193017|209999
210001|F|Tilsim dan Kensi4Kiachero|SOM n|...|(NO)NRR LO 176237|210000|193024
210002|F|(N)Kiachero Lulu|SOM n|13-01-2016|(DK)FD LO 224529|209996|210001
210003|M|DK Spellyst Deluxe|SBI c|06-04-2016|(DK)FD LO 224530|181994|176326
210004|M|DK Spellyst Purple Rain|SBI c|06-04-2016|(DK)FD LO 224531|181994|176326
210005|F|DK Spellyst Kissi|SBI a|06-04-2016|(DK)FD LO 224532|181994|176326
210006|F|DK Spellyst Angel Dust|SBI a|06-04-2016|(DK)FD LO 224533|181994|176326
210007|M|DK Fjordbækken's Kata Noi|RAG a 03|22-04-2016|(DK)FD LO 224534|198391|201008
210008|F|DK Fjordbækken's Kalama|RAG n 03|22-04-2016|(DK)FD LO 224535|198391|201008
210009|F|DK Fjordbækken's Laguna|RAG a 04|22-04-2016|(DK)FD LO 224536|198391|201008
210010|F|DK Fjordbækken's Surin|RAG n 04|22-04-2016|(DK)FD LO 224537|198391|201008
210011|F|Pythagoras For Your Eyes Only|EXO g 01 62|25-03-2016|(DK)FD LO 224538|160832|194793
210012|M|Pythagoras The Spy who Loved me|EXO a 03|25-03-2016|(DK)FD LO 224539|160832|194793
210013|F|Pythagoras Living Daylight|EXO g 03 22|25-03-2016|(DK)FD LO 224540|160832|194793
210014|M|Pythagoras Spectre|EXO e 03 24|25-03-2016|(DK)FD LO 224541|193304|186825
210015|F|Pythagoras Diamonds are Forever|PER f 03 23|25-03-2016|(DK)FD LO 224542|193304|186825
210016|F|Pythagoras Nikoline|EXO f|25-03-2016|(DK)FD LO 224543|193304|177269
210017|F|Pythagoras Karoline|EXO f 03|25-03-2016|(DK)FD LO 224544|193304|177269
210018|F|Pythagoras Josefine|PER f 03|25-03-2016|(DK)FD LO 224545|193304|177269
210019|F|DK LihmeRex Gaia|SIA c|13-04-2016|(DK)FD LO 224546|190909|186315
210020|F|DK Killix Rosa Linda|NFO n 23|17-04-2016|(DK)FD LO 224547|202023|173192
210021|F|DK Killix Roselina|NFO n 23|17-04-2016|(DK)FD LO 224548|202023|173192
210022|F|DK Killix Rosita|NFO n 23|17-04-2016|(DK)FD LO 224549|202023|173192
210023|M|DK Killix Roberto|NFO n 23|17-04-2016|(DK)FD LO 224550|202023|173192
210024|M|DK Killix Rico Ricardo|NFO n 23|17-04-2016|(DK)FD LO 224551|202023|173192
210025|F|DK Killix Rubén Roque|NFO n 22|17-04-2016|(DK)FD LO 224552|202023|173192
210026|M|DK Shadowpaw's Valar Morghulis|NFO n 03|28-04-2016|(DK)FD LO 224553|199777|179312
210027|M|DK Shadowpaw's Viggo M|NFO ns 03 23|28-04-2016|(DK)FD LO 224554|199777|179312
210028|F|DK Shadowpaw's Violet Dawn|NFO fs 03 23|28-04-2016|(DK)FD LO 224555|199777|179312
210029|F|DK Shadowpaw's Vanilla Sky|NFO fs 01 21 6|28-04-2016|(DK)FD LO 224556|199777|179312
210030|F|DK Shadowpaw's Vanity Fair|NFO fs 09|28-04-2016|(DK)FD LO 224557|199777|179312
210031|M|DK Heljexa's Camaro|NFO n 09 22|08-03-2016|(DK)FD LO 224558|187270|186472
210032|M|DK Heljexa's Chopin|NFO d 09 24|08-03-2016|(DK)FD LO 224559|187270|186472
210033|F|DK Heljexa's Catalina|NFO fs 09 23|08-03-2016|(DK)FD LO 224560|187270|186472
210034|F|DK Heljexa's Chevy|NFO ds 09 24|08-03-2016|(DK)FD LO 224561|187270|186472
210035|F|DK Titini's Gamma|NFO g 03|30-04-2016|(DK)FD LO 224562|198146|183883
210036|F|DK Titini's Glow|NFO f 09|30-04-2016|(DK)FD LO 224563|198146|183883
210037|M|DK Titini's Garfield|NFO d 09 23|30-04-2016|(DK)FD LO 224564|198146|183883
210038|F|DK Titini's Gray|NFO g 09|30-04-2016|(DK)FD LO 224565|198146|183883
210039|F|DK Titini's Grizzly|NFO g 09|30-04-2016|(DK)FD LO 224566|198146|183883
