550;M;Shwechinthe Topaz;SBI b;...;GCCF EX 65502;4246;XLH n 33;4131;XLH b 33
629;F;Lapje de Broeckloni;EXO f 03;...;MU.R85.EX.003.1;10176;PER n 03;3223;BSH d 24
910;M;Carouso la Margaretha;PER e 33;...;1.DEKZV LO 035779;3975;PER d 33;7181;SBI f
1068;F;Fairygarden's Bacardi;NFO g 24;...;CFA 1789-152978 V0684;6983;MCO a;8982;MCO g 22
2025;F;Cherrywood Blodwyn;BSH f;...;GCCF OSSR 182097;;;120059;PER f
2115;M;Forestsprite's Andy;MCO d 22;...;CFA 1740-205592 V0785;7796;MCO n;1068;NFO g 24
5502;F;Shwechinthe Cabora;SBI b;...;GCCF EX 063552;4246;XLH n 33;4131;XLH b 33
8281;F;Ariadne v. Ayudhya;RUS;...;1.DEKZV EXP 1195;4565;RUS;8279;SIA a
8340;M;Arkens Sylvester;ABY ns;...;NRR RX 764;8532;XSH s;8838;XSH s
8386;M;Tyeremilito's E-Sarwankumar;BSH ns 22 64;...;NLKV 89.8822;7621;PER ns 24 64;38773;XSH ns 22 64
8841;F;Arkens Nøsse;ABY ns;...;NRR RX 660;4907;XSH s;8840;XSH s
11997;M;Sinh Faffa af Silverbäcken;SBI a;...;SVERAK LO 18214;4525;SBI a;5351;PER a 33
12714;F;Maya Kalinka;BSH ns 11;...;FD RX 4737;1951;PER ns 12;2906;XSH ns 24
16050;M;Benson van Sheba's Adiba;BSH ns 22;...;MU.R81.EK.NL.06;16049;BSH ns 24;2613;AMS non a 22
17098;F;Scintilla Pot Pourri;OSH f 03 24;...;CA RX 85022104;17069;SIA c;17070;PER f 03
19866;M;Zureiga Chocolate Galaxy;CRX bs;...;NRR RX 1093;18277;CRX bs;19865;PER as
20295;F;Maya Celia;BSH ns 11;02-10-1986;FD RX 5170;1951;PER ns 12;2906;XSH ns 24
20583;F;Thamakan Silver Linet;BML ns 11;19-07-1989;FD RX REG 1363;15619;BUR n;16076;BML ns 11
20786;F;Scintilla Pied Piper;OSH n 03;...;CA RX 85022103;17069;SIA c;17070;PER f 03
21195;F;Rikki v. Mägdebrunnen;SBI f;...;1.DEKZV LO 154322;21194;PER d 33;21181;SBI n
21549;F;Thamakan Silver Hebe;BML ns 11;23-06-1988;FD RX REG 1258;15619;BUR n;61734;PER ns 12
21791;F;Balkash Cassandra;PER cs 22 62;...;GCCF NS 215769;21788;DRX d 21 33;6967;DRX ns
21792;M;Clanclinton Clarino;DRX b 33;...;SVERAK LO 91400;18807;DRX d 21 33;21791;PER cs 22 62
23056;F;Jetje van Candacé;BSH e;...;FE.L80.EK.NL.28;2224;SOM os;23055;BSH e
24707;M;Tanglefoot Nicholas Thomas;BML ns 11;...;CA RX 85082908;15998;PER ns 12;24706;BUR n
31409;F;Thamakan Silver Artemis;BML ns 11;...;FD RX REG 1030;3318;PER ns 12;15122;BUR c
31783;M;Thamakan Silver Ginger;BML ds 11;15-12-1993;FD RX REG 1717;29427;BML ns 11;31782;BUR h
