48;M;Nile Blue Riband;ABY a;...;CCCA NSWCFA (N) 84335;1181;ABY a;12665;ABY a
98;M;Calypso v. Albisa;SOM n;18-12-1990;1.DEKZV 163713;27338;SOM n;27341;ABY n
166;F;Smiegel's Zaehnchen;SOM n;...;1.DEKZV LO 108053;5081;SOM n;8066;SOM n
296;F;Marica Ninja;ABY n;25-07-1986;FD LO 45308;6542;ABY n;15021;ABY n
299;F;Tausert's Farenheit 500;ABY n;...;CFA 0381-008677 V0781;2201;ABY n;718;ABY n
319;F;Chili El Mahaschavi;ABY n;...;FD LO 39047;1120;ABY n;710;ABY n
320;M;Sun Dance Khemosabi;ABY n;...;FFF LO 34667;5068;ABY n;5069;ABY n
329;F;Ophelia af Fredenslund;ABY o;...;FD LO 36509;1162;ABY o;15014;ABY n
434;F;DK Gyldfina's Red India;SOM o;02-05-1992;FD RX 8016;27793;SOM o;23095;SOM o
561;M;DK Dushara Vasco da Gama Fawn;SOM p;21-04-1990;FD LO 59570;1545;SOM a;6903;SOM a
615;F;DK Saltvig's African Girl;ABY o;06-07-1993;FD LO 72936;9287;ABY o;16521;ABY o
676;F;DK Mikkelines Istari Camille;SOM ns;30-11-1993;FD LO 74406;28118;SOM ns;41842;SOM n
699;F;Bastis Sparkle Plenty of Sunnidays;ABY n;...;CFA 0383-628885;12920;ABY n;50261;ABY n
702;F;Camelina af Pivianna DK;ABY n;09-01-1989;FD LO 54060;4042;ABY a;23198;ABY n
710;F;Tara El Mahaschavi;ABY n;...;FD LO 33254;15006;ABY n;712;ABY n
713;M;Ayse El Mahaschavi;ABY o;...;FD 17276;6757;ABY n;708;ABY n
716;F;Catknapp Bertha D'Blues;ABY a;...;CFA 0385-077967 V1282;12926;ABY o;14986;ABY n
717;M;Marki Niro;ABY o;...;FD LO 26013;713;ABY o;6735;ABY n
820;F;Aqua Jade El Mahaschavi;ABY n;...;FD LO 32645;4035;ABY a;15056;ABY o
934;F;Thamos Hannah Glavari, DM;ABY o;...;NRR LO 5432;77493;ABY o;11192;ABY o
954;F;Nephrani's Dominique;SOM n;...;MU.R80.SO.USA.24;4697;SOM n;26311;SOM o
985;M;Giselle Silver Spirit;ABY ns;...;GCCF CSSR 082990;8046;ABY ns;1290;ABY ns
1032;F;DK Cayenne Anis;SOM o;31-10-1992;FD RX 8563;32316;SOM n;25117;SOM o
1062;M;Fussing's Laban;ABY o;31-10-1990;FD LO 61378;9927;ABY n;7197;ABY o
1064;M;Ruddy Zephyr van Galoubie Koschka;ABY n;...;MU.L87.AB.047.2;25637;ABY n;25640;ABY n
1081;F;Kenipurr Billie Direct of Bastis;ABY o;...;CFA 0383-140771 V0185;81014;ABY o;103174;ABY o
1107;M;Blue Thunder El Mahaschavi;ABY a;12-09-1991;FD LO 65446;17190;ABY a;61526;ABY a
1115;M;Lynn-Lee's Desert Fox;SOM n;...;CFA 1380-000110 V111;2164;ABY n;5386;ABY n
1116;F;Tausert's Kundalini;ABY n;...;CFA 0381-007238 V111;1112;ABY n;718;ABY n
1117;M;Atlanta's Bølle;ABY o;...;FD LO 26531;1305;ABY o;1306;ABY o
1119;F;Minja Edle v. Diesere;SOM n;...;1.DEKZV LO 099343;2218;SOM n;51890;SOM a
1120;M;Tausert Aqua Chip Stock;ABY n;25-08-1982;FD LO 36225;15000;ABY n;716;ABY a
1152;M;Quinistar de Sauveterre;SOM n;...;1.DEKZV LO 115734;2617;SOM n;18270;ABY n
1162;M;Kianda's Asterix;ABY o;18-05-1982;FD LO 31379;1117;ABY o;1310;ABY n
1186;M;Van Dyke's Abi Also Audey;ABY n;...;CFA 0380-125600;2884;ABY n;3939;ABY n
1229;F;DK Vallue's Hawana;ABY o;05-09-1997;FD RX 12442;54593;ABY o;59297;SOM n
1285;F;Isis van de Previnairen;SOM n;...;NCT 866027;23608;SOM n;27721;SOM n
1290;F;Alanjan Bryony;ABY ns;...;GCCF CSEXP 000926;213;ABY p;9490;ABY ns
1292;F;Zula's Kaneel;ABY o;...;1.DEKZV 029913;27348;ABY o;1293;ABY n
1293;F;Dewi af Sriwijaya;ABY n;19-03-1976;NKS AK 51-450;78330;ABY n;55433;ABY n
1294;F;Delia de Bassecour;ABY n;...;1.DEKZV LO 037189;15073;ABY n;27349;ABY n
1297;M;Cellani's Cupro Bakis;ABY o;...;1.DEKZV LO 045215;1308;ABY n;1292;ABY o
1298;F;Marica Cherié;ABY n;...;FD 15682;2867;ABY n;2866;ABY n
1299;F;Cellani's Siena Eyjesha;ABY n;...;1.DEKZV LO 057554;1297;ABY o;1294;ABY n
1300;F;DK Aurifer's Ladyhawk;ABY o;13-07-1990;FD LO 59774;16908;ABY o;19197;ABY o
1305;M;Adam af Granhaven;ABY o;...;FD 21491;15008;ABY n;1302;ABY o
1306;F;Marica Olympia;ABY o;...;FD LO 22975;6757;ABY n;1301;ABY n
1307;F;Zula's Pepsi-Cola;ABY n;...;FE.L80.AB.004.1;704;ABY o;1304;ABY n
1308;M;N. Tweed-Khalif;ABY n;...;FE.L80.AB.039.2;2886;ABY n;1296;ABY n
1309;M;Jamata's Rusty Halo;ABY o;...;CFA 0382-165194 V0185;103171;ABY o;103172;ABY o
1310;F;Zula's Cola-Tic;ABY n;01-05-1981;FD LO 29770;1308;ABY n;1307;ABY n
1311;M;DK Donante's Dennis;ABY o;01-06-1990;FD LO 59540;1162;ABY o;21873;ABY o
1320;M;Raelich Mission Redd of Dar-Ling, DM;ABY o;...;CFA 0382-085121 V1082;2857;ABY o;2816;ABY o
1325;F;DK Bartram's Coco De Mer;ABY n;26-01-1991;FD LO 61784;8054;ABY a;8175;ABY o
1342;M;Tsjamo van Candacé;SOM n;...;MU.R81.SO.010.3;2217;SOM o;954;SOM n
1362;M;S*Soma Porthos;SOM o;...;SRK RX 7822;8544;SOM n;4704;SOM o
