13;M;Allegretto's Erasmus;SIA n;...;FD LO 28226;203;SIA n;1471;SIA n
33;M;De Kater Ricardo Akyro;BAL n;...;1.DEKZV 022559;1284;BAL a;4106;BAL b
43;F;Chikkana Usquebaugh;BAL n 21;...;GCCF SRNS 281528;9358;BAL n 21;9359;SIA n
44;F;Tassam's Sheba;BAL a 21;...;CFA 2057-150406 V0484;5391;BAL n;4698;BAL b
45;M;Tassam's Akie;BAL n;...;1.DEKZV 099299;41;BAL n;38;BAL c
49;F;Mishamy Ginny Comelately;BAL a;...;GCCF SRNS 281398;31;BAL a;8409;BAL a
50;M;Vilhelm af Bajang;OSH bs;02-11-1991;FD LO 66095;18761;OSH ns;6426;OSH n
51;M;Orla Braun Brimiso;SIA n;19-04-1997;FD LO 89951;60682;SIA b;55890;SIA n
67;F;Shirmi Ursula;SIA n;...;FD 21101;315;SIA n;4236;SIA c
75;F;Pegasus Kosher;OSH b 24;...;FD RX 2261;15353;OSH b;965;OSH b 24
81;M;Uruguay Salut;SIA n;...;SVERAK LO 25874;12032;SIA n;63683;SIA n
82;M;Okesha Star Galaxy;SIA n;...;GCCF NS 122932;4234;SIA n;1331;SIA n
84;F;Tanholt' Hibiscus;OSH f;...;FD RX 4485;6991;OSH d 25;1189;OSH f
90;F;Leyvyn Feaestar (Q);SIA b;...;ACF FCCWA 2087W78;22577;SIA b;22578;SIA b
91;F;Bellamis' Honey;SIA d;...;FD LO 42670;63685;SIA d;9851;SIA g
93;F;Salween Blue's Xylopia;SIA a;...;FD LO 37884;10135;SIA a;1190;SIA a
94;M;Sontew Solomon;SIA b;...;KSM 6.303;4234;SIA n;4010;SIA c
147;F;DK Feles Grata Cin-Silver Cisse;OSH bs 24;03-04-1991;FD LO 63174;47469;OSH bs 25;49258;OSH o 25
170;F;Rian Sedili;OSH b 24;...;GCCF SRNS 121096;206;OSH c;15408;OSH b 24
203;M;Pixie's Cattie Joe Aun;SIA n;...;FD LO 21758;315;SIA n;333;SIA a
205;F;Sphinx Backfisch;OSH b 24;...;FD LO 35141;590;SIA b 21;7029;OSH n 24
206;M;Takata Khandi;OSH c;...;GCCF SRNS 076834;3928;SIA c;200;OSH b
212;F;Aphrodite (Neocat);BAL a;...;1.DEKZV 089335;11080;BAL a;21769;BAL n
255;F;Dovecliff Elsa;SIA n;...;GCCF NS 234070;18419;SIA n;15807;SIA n
280;M;DK Balsatzar's Atreus;SIA a;15-04-1990;FD LO 58971;17192;SIA b;10411;SIA n
335;F;Pendlemist Tziganella;SIA n 21;...;NKS K 44-254;331;SIA n;332;SIA n 21
337;F;Lise fra Skovengen;SIA b;...;FD 19922;283;SIA n;334;SIA n
339;F;Ilios Natasja;SIA a;...;FD LO 25302;203;SIA n;337;SIA b
341;M;Shandean Dionysius;SIA n;...;GCCF NS 099321;4234;SIA n;342;SIA n
349;F;Norska Astral Bifrost;SIA n;...;GCCF NS 126417;18419;SIA n;7771;SIA b
350;M;Firousi Don Quixote;SIA c;...;GCCF NS 306074;338;SIA c;346;SIA c
351;F;Windchimes Minette;SIA c;...;GCCF NS 307789;347;SIA c;348;SIA c
352;F;Adiveam Snow Berry;SIA c;07-06-1987;FD LO 50382;350;SIA c;351;SIA c
353;M;DK Omikron Baten Kaitos;SIA c;07-06-1990;FD LO 59235;1975;SIA n;15271;SIA b
376;M;Adivesh Lofta;OSH c;...;GCCF CS 034118;4322;OSH b;17262;OSH b
590;M;Ardsley Arthur;SIA b 21;...;FD LO 32895;6980;OSH b 24;7006;OSH b 24
