1144;F;Nini af Timanfaya DK;PER g;01-05-1990;FD RX REG 1497;;;16335;PER b
1432;M;Skvallergränds Jora Alexandrovitj;RUS;...;SVERAK LO 29352;;;44483;RUS
2020;F;Cattepoel's Kiss-Me-Kate;BSH a;...;1.DEKZV LO 085404;;;1289;BSH g
2056;F;Pan's Trine;NFO n 23;...;NRR RX 50622;;;8522;NFO n 09 23
2340;M;Crescendo Tabby Treasure;PER x;...;FD 1168 K;;;1860;PER a 33
2874;F;Essyx Esoterica of Helium;ABY n;09-04-1978;1.DEKZV 032989;;;78345;ABY n
2905;F;Sylvia;MAN x a 02 54;...;FD RX 2931;;;2002;MAN n 03 24 53
3353;M;Løvetangens Monty;NFO n 09;...;NRR RX 50770;;;4762;NFO n 09
3506;M;Braeside's Mister Musky;MAN n 03 53;...;MU.R89.MX.REG.02;;;41861;MAN n 03 22 53
4149;M;Bamse av Myre;NFO d 09 23;...;NRR RX 51439;;;6691;NFO f 09 23
4601;M;Idole du Mont Popa;SBI n;...;FFF RX 5241;;;2688;SBI n
4911;F;Sussi;PER a 33;...;FD RX 4048;;;7672;PER n 33
5346;F;Mystery Girl of Pacilak;PER f;29-03-1990;FD RX REG 1409;;;11689;PER f 03
6242;M;Micado of Pacilak;PER d;29-03-1990;FD RX REG 1405;;;11689;PER f 03
6243;F;Limelight of Pacilak;PER d 03;29-03-1990;FD RX REG 1406;;;11689;PER f 03
8168;F;Nana af Timanfaya DK;PER g;01-05-1990;FD RX REG 1496;;;16335;PER b
9794;F;Guldfakse's Nolida;NFO f 23;15-06-1984;FD RX 4054;102964;...;15597;NFO fs 09 23
9800;M;Dunvald's Hovsa;BSH as 24;01-08-1989;FD RX REG 1370;;;22865;BSH a
9806;F;Pia av Myre;NFO f 09 23;...;NRR RX 51280;102964;...;4587;NFO f 09 22
9967;F;Pirot Cream Mahonia;BSH e;...;SVERAK RX 27136;;;120060;BSH e
10124;F;DK Lamidi's Uurujuani;BAL a;06-04-1990;FD LO 58858;;;14969;BAL c
11535;M;DK Fnugges dream's Bossman;PER a 03;13-06-1992;FD RX REG 1588;;;49072;PER n 03
12157;M;DK Fnugges dream's Felix;PER n;13-06-1992;FD RX REG 1589;;;49072;PER n 03
12183;F;Pia av Skogheim;NFO n 09;...;NRR RX 51240;;;501;NFO a 09
12184;F;(N)Granerud's Humla;NFO f;...;NRR RX 52200;;;3365;NFO f 09
12221;M;DK Vossevangen's Josef;NFO as 23;11-05-1990;FD RX REG 1402;;;962;NFO as 23
12327;M;Bonzo av Högloft;NFO n 09;...;FFF LO 30659;;;52925;NFO n 09 23
12771;F;Sweet and Easy of Pacilak;PER f 03;29-03-1990;FD RX REGI 1408;;;11689;PER f 03
12839;F;Sweet Tortina of Pacilak;PER d 03;29-03-1990;FD RX REG 1407;;;11689;PER f 03
12846;M;DK Vossevangen's Joker;NFO ns;11-05-1990;FD RX REG 1399;;;962;NFO as 23
12882;M;DK Vossevangen's Julius;NFO ns 23;11-05-1990;FD RX REG 1401;;;962;NFO as 23
13125;M;Nino af Timanfaya DK;PER a;01-05-1990;FD RX REG 1498;;;16335;PER b
15508;M;Trollsaga's Justin;NFO n 09 23;...;NRR RX 51355;;;694;NFO n 23
15620;F;DK Vossevangen's Josefine;NFO as 23;11-05-1990;FD RX REG 1403;;;962;NFO as 23
15924;M;Black Vision of Pacilak;PER n;29-03-1990;FD RX REG 1404;;;11689;PER f 03
16424;M;Nuggi af Timanfaya DK;PER n 22;01-05-1990;FD RX REG 1499;;;16335;PER b
21617;F;Lado Unike;NFO n 09;...;NRR RX 52005;;;1402;NFO w
21875;F;DK Fnugges dream's White Bine;PER w 62;13-06-1992;FD RX REG 1591;;;49072;PER n 03
22031;M;DK Fnugges dream's Mr. T;PER w 62;13-06-1992;FD RX REG 1590;;;49072;PER n 03
22900;F;DK Vossevangen's Juli;NFO fs 09 23;11-05-1990;FD RX 8437;;;962;NFO as 23
28025;M;DK Perserhuset's Jouvet;PER a 03;17-03-1993;FD RX REG 1676;;;35076;PER n
28295;F;Lucia av Elvatun;NFO ns 24;...;NRR RX 51543;;;26344;NFO n 09
30374;F;DK Perserhuset's Jolene;PER n;17-03-1993;FD RX REG 1675;;;35076;PER n
30688;M;DK Perserhuset's Jolly Jumper;PER a 03;17-03-1993;FD RX REG 1677;;;35076;PER n
31055;F;Inocea Akvamarin;RUS;...;SRK RX 15245;;;56945;RUS
31189;F;DK Perserhuset's Josefine;PER n;17-03-1993;FD RX REG 1674;;;35076;PER n
31342;F;DK Kærminden's Black Beauty;PER n;21-07-1989;FD LO 56407;;;13926;PER f
32819;F;Nanni v. Mägdebrünnen;SBI a;...;1.DEKZV RX 031179;;;32732;SBI a
34379;F;Chrisland's Tomasina of Detrevande;ABY n;...;CFA 0381-782119 V0194;;;34378;ABY n
39413;M;Pan's Tassopp;NFO n 09;...;NRR LO 60077;;;9824;NFO n 09 23
40799;M;DK Mega Aslan;MCO n 23;31-10-1989;FD LO 57946;;;32463;MCO ns 09 23
42271;M;DK Mengel.E Hector;BUR n;29-05-1999;FD LO 100442;;;72126;BUR n
42801;F;Q-Rustina fra Drømmeskogen;NFO f;...;XX 1018;;;42813;NFO g
44711;F;Pan's Tootsie;NFO n 09 23;...;SRU 24.18D.575 K;;;9824;NFO n 09 23
44738;F;Harlyndon Secretwhisper;BSH a;...;GCCF CS 016766;;;69278;BSH a
50245;M;Dort;TUV n 21;03-07-1991;FD RX 9476;;;31906;TUV n 61
61346;F;DK Mengel.E Claudia;BUR n;29-05-1999;FD LO 100444;;;72126;BUR n
