134;F;Ballydane's Philimus;PER g;...;FD 17389;2479;PER e;;
136;F;Fleurette af Kambyses;PER e;...;FD 19845;2479;PER e;;
214;F;Farina Jousi;PER f;...;FD 11488;70753;PER n;;
273;M;Kismat Rahja of Vallemont;PER n;03-06-1970;CFA 0108-002887 V104;107794;PER n;;
274;M;Patou's Samourai;PER n;06-09-1977;CFA 0108-007867 V111;103329;PER e;;
356;M;Squire's Special Delivery;PER d;...;CFA 0110-004949 V111;5738;PER n;;
532;F;Gentle Bearcat's Gitte;PER a 33;...;FD 17152;4999;PER n 33;;
664;M;Shennen Sugar Daddy of Midas;PER d;...;CFA 0110-003434;485;PER w 62;;
765;F;Nordpilen's Eucalypso;PER w 62;...;FD LO 32482;3806;PER w 62;;
839;F;Valbjørn's Brigett;PER a 33;...;FD 13287;4999;PER n 33;;
918;F;Shennen's Maggie;PER d;21-03-1968;CFA 0111-000841 V101;27293;PER d;;
1083;M;Gaynells Feraud;BAL a;...;CFA 1276-238892 V0286;22149;BAL a;;
1135;M;McInkats Aki Kuma Cha of Nthaboo;MCO n 23;27-11-1979;CFA 1744-000127 V0181;3210;MCO n 22;;
1274;M;Kabbarps Gorgi;BSH a;...;FD 6976;1282;BSH a;;
1467;F;Mary Poppins de Broeckloni;BSH ns 24;...;MU.L83.BK.005.1;16050;BSH ns 22;;
1570;F;Golden Sabine of Great Yarmouth;PER e;...;FD 16345;1571;PER e;;
1580;F;Alancha af Stensgård;PER n 33;...;FD LO 35079;1084;PER a 33;;
1804;F;Huntley Helio Trope;PER g;...;GCCF NS 033211;24003;PER n 33;;
1806;F;Za-Za von Pahlewi;PER ns 12;...;1.DEKZV 011403;6554;PER ns 12;;
1821;F;Hillsbury Powdered Sugar;PER ns 12;...;1.DEKZV 005107;3707;PER ns 12;;
1952;M;Jama Kats Columbo of Laicha;PER n;19-05-1977;CFA 0108-007583;20527;PER n;;
2227;F;Larnyen Lollipop;SIA n;...;GCCF NS 233077;7022;SIA n;;
2292;M;Kowtow Khan;SIA n;...;GCCF NS 009649;24286;SIA n;;
2305;M;Silver Quando von Pahlewi;PER ns 12;...;1.DEKZV 030928;6554;PER ns 12;;
2431;M;Midas Jazzman of Sitara;PER n;06-10-1974;CFA 0108-005472 V108;22108;PER d;;
2771;F;Elva el-Tjok;PER g;...;1.DEKZV 021793;1605;PER a;;
2875;M;Pi-Den Caracal;ABY n;...;FD LO 26609;78346;ABY n;;
2986;F;Rohini van Het Hooght;SBI n;...;NKS 23-022;859;SBI n;;
3190;F;Silver Dream von Pahlewi;PER ns 12;...;1.DEKZV EXP. 5143;1653;PER ns 12;;
3323;F;Artemis Safir;SIA n;...;FD RX 3124;3531;SIA n;;
3593;M;Shwechinthe Chindit;SBI a;...;GCCF NS 224668;1369;SBI n;;
4255;F;Pegasus Madame;OSH b;...;FD LO 24897;15353;OSH b;;
4300;F;Klingeskov's Eta;SIA n;...;FD LO 29151;7966;SIA n;;
4410;M;Dar-Lin's Hey Jude of Kitty Charm;PER e;...;CFA 0114-009663 V111;8150;PER a;;
4541;F;Nanette von Schaephuysen;BSH x;...;1.DEKZV LO 075995;4627;BSH a;4633;...
5105;F;Kasimir Black Tulip;BSH n;...;SVERAK LO 25637;2630;BSH a;;
5141;F;Adonesh Rea Ripple;OSH b;...;GCCF SRNS 120386;15388;OSH b 22;;
5261;F;Midas Dolly of Castilia;PER g;...;CFA 0151-013370 V0282;6394;PER d;;
5442;F;Perann's Bette;PER n 33;...;FD LO 24494;1843;PER n 33;;
5482;M;Apollon;SBI n;...;SVERAK LO 24987;8788;SBI n;;
5487;F;Camille***;SBI n;...;FFF RX 17969;7106;SBI n;;
5614;F;Sweet Valley's Queen Erotica;SBI n;...;SVERAK LO 22755;76950;SBI n;;
6541;M;Amigo of Thael;ABY n;...;FD 12663;2861;ABY n;;
7539;F;Mjavo Sayo Nara;NFO n;...;NRR RX 50163;8917;NFO;;
8098;F;Quintessenza Nøkke;MAN n 03 53;...;FD RX 2751;2903;MAN n 02 51;;
8133;F;Shengo Eleiza;PER ns 12;...;FD 6635;1819;PER ns 12;;
8174;M;DK Long Fing Fong's Caesar;PER e 03;12-03-1991;FD RX REG 1459;4264;PER e 03;;
8581;M;Tom Kyle's Theriak;PER a;...;1.DEKZV 000364;3866;PER a;;
8783;F;Mitzy;SBI a;...;SVERAK LO 36002;7;SBI a;;
8819;M;Birminas Stubben;SBI a;...;SVERAK LO 30279;545;SBI n;;
8864;M;Juri-Jets. of Gayhouse;PER ns;...;1.DEKZV LO 134632;5110;PER ds 11;;
8865;F;Alkmene of Gayhouse;PER ds 11;...;1.DEKZV LO 134633;13723;PER ds 12;;
8912;M;DK Long Fing Fong's Gismo;PER e;12-03-1991;FD RX REG 1458;4264;PER e 03;;
8937;F;Quintessenza Zibylle;MAN n 03 24 51;...;FD RX 3223;2176;MAN n 03 24 53;;
12027;M;Fridhems Pontus Primus;EUR ns 22;...;SVERAK RX 29800;8533;EUR ns 22;;
13217;F;Black Josephine of Great Yarmouth;PER n;...;FD 15448;13182;PER n;;
13625;F;Golden Funny Face af Paral;PER e;...;FD LO 29633;680;PER e;;
13710;M;Gitano-Sm. of Gayhouse;PER ns;...;1.DEKZV LO 134630;6787;PER n;;
13819;M;Silver-Windsong von Pahlewi;PER ns 12;...;1.DEKZV 007360;6554;PER ns 12;;
14472;F;Madly vom Rococo Schloss;SBI f;...;1.DEKZV LO 085691;24174;SBI n;2117;...
16290;M;Akasah's Ras Banzai;ABY n;...;SVERAK LO 45619;110642;ABY n;;
16866;M;Maytime Angelo;SIA a;...;GCCF NS 125159;3146;SIA a;;
16994;M;Laneen Carbon's Copy;PER n;...;CFA 0108-210309 V1185;6796;PER n;;
17346;F;DK Long Fing Fong's Josefin;PER g 03;12-03-1991;FD RX REG 1457;4264;PER e 03;;
17955;F;Dalai Hot Fudge;OCI x b;...;CFA 0203-141459 V0284;67942;OCI ns 24;;
18711;F;Barbarella El Sana;ABY n;...;FD 9805;11513;ABY n;;
23367;F;Yamasee I Yatzy B Suffragett;EUR f 22;05-01-1992;FD RX REG 1606;24554;EUR n 24;;
24631;F;Monas Red Rebecca;MAN d 23 51;...;NHS AK 15.572;8075;MAN e 22 51;25469;...
25397;F;Idle Hour Farm Kati of Charmalot;MCO n 23;25-04-1980;CFA 1745-0158 V0381;3210;MCO n 22;;
25468;M;Tatleberry Brutus;MAN a 51;...;NHS AK 52.048;25466;MAN a 03 22 51;25467;...
25556;F;Chantilea's Lori of Kitty Charm;PER g;...;CFA 0151-014695 V0381;25227;PER n;25555;...
31139;M;Dandy (P) The Nature Cat DK;MCO es 22;30-06-1993;FD LO 72203;28687;MCO n 23;;
31639;M;Winny's Silver Woolly Boy;PER ns;...;DVDK 11.020;31636;PER ds 11;31637;...
31747;F;Aita Pea Pea El Kahena;EXO a;...;LOS 85-4892;31751;EXO a;31752;...
32273;F;DK Long Fing Fong's Fifi;PER g 03;12-03-1991;FD RX REG 1456;4264;PER e 03;;
32628;M;Thamakan Golden Ruddy;BML x ny;17-11-1994;FD RX 10132;30401;BML ns 11;;
34941;F;Millwood Phaeng;BEN n 24;10-07-1993;FD RX REG 1738;83090;BEN n 24;;
35410;F;MtKittery's Musquash Missy;MCO n 22;13-10-1980;CFA 1745-085178;18173;MCO n 22;;
37357;F;Lakme Bodhitsattua;ABY n;...;CFA 0381-007250;2855;ABY n;;
38272;F;Thamakan Silver Rosanna;BML bs 11;17-11-1994;FD RX 10129;30401;BML ns 11;;
39490;F;DK Bardicat's Artemis;NFO n 09 22;22-05-1998;FD LO 94581;56499;NFO a 09 23;;
39510;M;DK Amore Miau's Simba;MCO d 22;20-11-1998;FD LO 98117;45764;MCO ds 09 22;;
39582;F;Thamakan Silver Renette;BML as 11;17-11-1994;FD RX 10130;30401;BML ns 11;;
39583;M;Thamakan Silver Romeo;BML ns 11;17-11-1994;FD RX 10131;30401;BML ns 11;;
40650;M;Nemo von Henzada;BUR n;...;LOS 84-4297;40648;BUR n;;
40789;F;Chestnut's Pretty Kitty;BSH h;...;DRU 101461;17225;BSH c;;
41733;F;DK Long Fing Fong's Dusses;PER e 03;12-03-1991;FD RX REG 1460;4264;PER e 03;;
41864;F;W-Barbra;MAN a 51;...;MU.L89.MX.04.1;51107;MAN n 03 52;;
47501;M;Chilbrook Peach Sting of Honeycoon;MCO e 23;10-08-1987;CFA 1745M-498209;4343;MCO a 22;;
49445;F;Boadicat Bizzie Lizzie;BSH a 33;...;GCCF CSEXP 079306;41775;BSH n 33;;
50973;F;Masteast Tiger Lily of McKittycreek, DM;MCO fs 23;09-02-1991;CFA 1737M-692524 V0692;80187;MCO ns 09 23;;
52121;F;Asta af Pejen DK;PER g 02 62;10-07-1998;FD LO 95792;41853;PER a 02 62;;
52122;F;Sif af Pejen DK;PER g 02 62;10-07-1998;FD LO 95793;41853;PER a 02 62;;
52535;F;Lynn-Lee's Donna Lee, DM;SOM n;15-07-1986;CFA 1381-328023 V0487;34519;SOM n;;
53003;M;DK Bardicat's Guffi;NFO n 23;10-08-1997;FD LO 91409;56499;NFO a 09 23;;
54019;F;Björnligans Petronella;BSH w 62;...;SVERAK RX 39619;8084;BSH w 62;;
56252;M;DK Bardicat's Alfredo;NFO e 09 23;30-04-1999;FD LO 99722;56499;NFO a 09 23;;
57011;M;Thamakan Golden Freddy;BML x ay 11;03-06-1997;FD RX 12152;30401;BML ns 11;;
57012;M;Thamakan Golden Ferry;BML x ny 11;03-06-1997;FD RX 12153;30401;BML ns 11;;
57112;F;Merinda Cover Girl;BUR c;...;GCCF NS 285799;57111;BUR c;;
58335;F;Morris de Broeckloni;BSH a;...;MU.R87.BK.029.1;1288;BSH a;;
59434;F;DK Bardicat's Cindi;NFO a 09 23;10-08-1997;FD LO 91411;56499;NFO a 09 23;;
60184;M;Arnold af Pejen DK;PER e 03;10-07-1998;FD LO 95794;41853;PER a 02 62;;
60464;M;DK Bardicat's Garfield;NFO d 09 23;10-08-1997;FD LO 91408;56499;NFO a 09 23;;
61864;F;DK Bardicat's Didi;NFO g 09 23;10-08-1997;FD LO 91410;56499;NFO a 09 23;;
62656;M;Bevlee Sassucki;SIA n;22-12-1983;GCCF NS 237310;18420;SIA n;;
62877;M;Kwisatz Blue Gordon;BSH a;...;GCCF CSSR 030887;41775;BSH n 33;;
62982;M;DK Bardicat's Frederik;NFO e 09 23;22-05-1998;FD LO 94579;56499;NFO a 09 23;;
62983;F;DK Bardicat's Aruba;NFO a 09 23;22-05-1998;FD LO 94580;56499;NFO a 09 23;;
63762;F;Riahon Auda Bebare;SPH n 09 21;25-01-1989;GCCF CSREF 194916;59121;SPH n 09;;
63864;M;Thamakan Silver Niro;BML ns 11;03-05-1998;FD RX 12855;56779;BML ns 11;;
63865;M;Thamakan Silver Ninos;BML ns 11;03-05-1998;FD RX 12857;56779;BML ns 11;;
64630;M;Ceilidh Sugar Blues;MAN x a 03 23;...;CFA 0690-573514 V0490;63801;MAN x n 03;63802;...
66065;M;Cleo's Black Oliver;BSH n;...;SVERAK RX 91884;32408;BSH n;;
67022;M;Pashaspride Osonozi Son;PER n;...;CFA 0108-645106 V1292;67013;PER n;;
67025;F;Purrteepurrs Kepsak of Pashaspride;PER f;...;CFA 0147-745911 V1292;67023;PER d;;
67035;F;Meunerie's Sabika of Charmingcat;MCO ns 22;05-05-1982;CFA 1737-118742;9880;MCO ns 23;;
67146;F;Bagoas Babble-Babble;BSH n;...;MU.R90.BK.032.1;67150;BSH b;;
67150;M;Buster Brown van Locust Valley;BSH b;...;SNVK 89-03-3K;99471;BSH b;;
67538;M;Silvercoon's J.R.;MCO n 09 23;...;XX 1470;7794;MCO n 22;;
67541;M;Lary vom Schindetal;MCO a 09 23;26-11-1986;1.DEKZV 120234;7167;MCO ns 09 23;;
67654;F;Chi-Lin af Pejen DK;PER g 02 62;10-07-1998;FD LO 95791;41853;PER a 02 62;;
67961;M;Timberwild's Amadeus of Purrfurdots;OCI c 24;...;CFA 0218-356924 V0587;67969;OCI b 24;;
67962;M;Ociville Tawny Shir Kahn of Gogees;OCI n 24;...;CFA 0200-261105 V0686;67969;OCI b 24;;
68362;F;Petlar's Ms Martha Polo Korattus;KOR;...;CFA 0505-298267 V0287;40641;KOR;;
68705;F;Ibiza af Pejen DK;PER g 02 62;21-11-1998;FD LO 98292;41853;PER a 02 62;;
68706;M;Oscar af Pejen DK;PER e 02 62;21-11-1998;FD LO 98293;41853;PER a 02 62;;
68708;M;Van Gogh af Pejen DK;PER e 02 62;21-11-1998;FD LO 98295;41853;PER a 02 62;;
68710;M;Gabriel af Pejen DK;PER e 02 62;21-11-1998;FD LO 98294;41853;PER a 02 62;;
68741;M;Isak af Pejen DK;PER e 03;10-07-1998;FD LO 95795;41853;PER a 02 62;;
69248;M;Xcalibur's Warlock;BSH n;...;CFA 2508-219185 V0984;69245;BSH a;69246;...
69249;F;Xcalibur's Josephine;BSH a;...;CFA 2507-338296 V0986;69245;BSH a;69247;...
69250;M;Katalina Blue Moon;BSH a;...;GCCF NS 165610;24011;BSH a;69242;...
69273;M;Fleetham Stroller;BSH a;...;GCCF NS 167773;38340;BSH a;;
69936;M;Dahshur Samson;ABY n;...;CFA 0380-711435;74374;ABY n;;
69937;F;Geseti van Tybaertshof;ABY o;...;MU.L91.AB.037.4;1064;ABY n;;
71113;F;DK Bardicat's Cleopatra;NFO n 23;30-04-1999;FD LO 99720;56499;NFO a 09 23;;
71230;M;Kaiwara Ati-Ati;RAG a 03;...;ACF QFA 1620Q97;113;RAG n 03;;
71295;M;Lookame Youngstar;SIA a;...;GCCF CS 213139;17084;SIA n;;
71929;F;Marie 98-76;PER g;25-05-1998;FD RX 12912;55505;PER c;;
72279;F;Ishmar Ima B B;BUR n;...;ACF WSCA 9576;72277;BUR n;72278;...
72734;F;Gipsy's Sunshine of Kashmir DK;MCO d 09 23;07-08-1998;FD LO 96988;66033;MCO d 23;;
72940;M;DK Bardicat's Ronaldo;NFO e 23;30-04-1999;FD LO 99721;56499;NFO a 09 23;;
73272;F;Gyurtsutarjan Twilight;SIA h;...;NKFV RVT 48.641;73270;SIA d;73271;...
74190;F;Repelsteeltje Wildebras;SFS non a 09 7;...;BC 6472;74189;SFS non a 09 7;;
74629;M;Myshadows Squeaky Clean;PER e;...;CFA 3014-226098 V0387;115;PER n;;
74761;M;Creamy of Carlsgaard DK;PER e 33;01-10-1999;FD LO 101984;70490;PER b 33;;
74762;M;Cat of Carlsgaard DK;PER a 33;01-10-1999;FD LO 101985;70490;PER b 33;;
74763;F;Camilla of Carlsgaard DK;PER h 33;01-10-1999;FD LO 101986;70490;PER b 33;;
75018;F;Willowplace Paloma Picasso;MCO f;06-07-1993;TICA SBT 070693 035;90204;MCO n 22;;
75022;F;Cosmicoon Mirabella of Willowplace;MCO ns 22;25-05-1993;TICA SBT 052593 019;71097;MCO ns 22;;
76322;M;Bajas av Reinsnos;SIA n 21;...;NRR LO 103623;36432;SIA n 21;;
76484;M;Willowplace Baron;MCO a 22;02-06-1986;CFA 1752-649372;47209;MCO n 22;;
77413;F;Karth's Confetti;MCO f 09 22;29-07-1993;CFA 1759-886358;52274;MCO n 09 22;;
77450;M;Morvan von den 3 Prinzen;PER w 63;...;1.DEKZV LO 116752;13514;PER d;;
77474;F;Circle Blue Tango;PER g 22;...;CFA 1153-082567 V0983;6153;PER d 22;;
77711;F;Royal Princess of Ragnarok;RAG a 03;20-01-1989;TICA SBT 012089 007;77710;RAG a 03;;
78499;M;DK Bardicat's Pumba;NFO e 23;02-05-2000;FD LO 104443;56499;NFO a 09 23;;
78500;M;DK Bardicat's Timon;NFO e 09 23;02-05-2000;FD LO 104444;56499;NFO a 09 23;;
